ID	AcceptedTaxonID	Genus	SubGenusName	Species	AuthorString	InfraSpecies	InfraSpecificMarker	InfraSpecificAuthorString	GSDNameStatus	Sp2000NameStatus	GSDNameGUI	
157133	333034	Acmira		catherinae	(Laubier, 1967)				alternate representation	Unaccepted name	urn:lsid:marinespecies.org:taxname:157133	
421021	525497	Acmira		cerrutii	(Laubier, 1966)				alternate representation	Unaccepted name	urn:lsid:marinespecies.org:taxname:421021	
238346	333037	Acmira		simplex	(Day, 1963)				alternate representation	Unaccepted name	urn:lsid:marinespecies.org:taxname:238346	
174159	182987	Aedicira		belgicae	(Fauvel, 1936)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:174159	
332888	337476	Aedicira		brevicornis	(Hartmann-Schröder, 1962)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:332888	
332889	333039	Aedicira		pacifica	(Hartman, 1944)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:332889	
332890	337477	Aedicira		punctata	(Hartmann-Schröder, 1962)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:332890	
332891	333043	Aedicira		ramosa	(Annenkova, 1934)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:332891	
525498	525497	Aricidea	Acesta	cerrutii	Laubier, 1966				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:525498	
326583	525483	Aricidea	Acesta	finitima	Strelzov, 1973				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:326583	
326584	525484	Aricidea	Acesta	mirifica	Strelzov, 1973				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:326584	
326585	525485	Aricidea	Acesta	strelzovi	Hartmann-Schröder & Rosenfeldt, 1990				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:326585	
340354	333043	Aricidea	Aedicira	ramosa	Annenkova, 1934				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:340354	
326600	333036	Aricidea	Aricidea	fauveli	Hartman, 1957				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:326600	
340356	525497	Aricidea	Aricidea	jeffreysii	[sensu Cerrutii, 1909 (Non McIntosh, 1879)]				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:340356	
130550	326599	Aricidea		albatrossae	Pettibone, 1957				alternate representation	Unaccepted name	urn:lsid:marinespecies.org:taxname:130550	
337478	333041	Aricidea		antennata	Annenkova, 1934				alternate representation	Unaccepted name	urn:lsid:marinespecies.org:taxname:337478	
130552	525486	Aricidea		assimilis	Tebble, 1959				alternate representation	Unaccepted name	urn:lsid:marinespecies.org:taxname:130552	
130553	337479	Aricidea		capensis	Day, 1961				alternate representation	Unaccepted name	urn:lsid:marinespecies.org:taxname:130553	
130554	333034	Aricidea		catherinae	Laubier, 1967				alternate representation	Unaccepted name	urn:lsid:marinespecies.org:taxname:130554	
130555	525497	Aricidea		cerrutii	Laubier, 1966				alternate representation	Unaccepted name	urn:lsid:marinespecies.org:taxname:130555	
326609	335071	Aricidea		curviseta	Day, 1963				alternate representation	Unaccepted name	urn:lsid:marinespecies.org:taxname:326609	
130558	333036	Aricidea		fauveli	Hartman, 1957				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:130558	
130560	340355	Aricidea		fragilis	Webster, 1879				alternate representation	Unaccepted name	urn:lsid:marinespecies.org:taxname:130560	
326612	326593	Aricidea		hartleyi	Blake in Blake, Hilbig & Scott, 1996				alternate representation	Unaccepted name	urn:lsid:marinespecies.org:taxname:326612	
155032	525497	Aricidea		jeffreysii	[Auctt. (Non McIntosh, 1879)]				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:155032	
130562	326587	Aricidea		laubieri	Hartley, 1981				alternate representation	Unaccepted name	urn:lsid:marinespecies.org:taxname:130562	
157217	333036	Aricidea		lopezi	Berkeley & Berkeley, 1956				alternate representation	Unaccepted name	urn:lsid:marinespecies.org:taxname:157217	
130720	146474	Acholoe		astericola	(Delle Chiaje, 1841)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:130720	
337619	146474	Acholoe		orbiculata	Treadwell, 1921				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:337619	
340312	333030	Acholoe		pulchra	(Johnson, 1897)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:340312	
340825	332887	Acrocirrus		heterochaetus		okotensis	Subspecies	Imajima, 1963	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:340825	
338910	254301	Arctonoe		lia	Chamberlin, 1920				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:338910	
336364	129866	Arenicola	Pteroscolex	antillensis	Lütken, 1864				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:336364	
336346	129868	Arenicola		abildgaardti	Castelnau, 1842				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:336346	
340353	129866	Arenicola		bombayensis	Kewalramani, Wagh & Ranade, 1959				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:340353	
336352	129868	Arenicola		carbonaria	Leach, 1816				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:336352	
336353	157215	Arenicola		caroledna	Wells, 1961				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:336353	
336355	129868	Arenicola		clavata	Ranzani, 1817				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:336355	
340849	157215	Arenicola		cristata		brasiliensis	Subspecies	Nonato, 1958	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:340849	
340850	157215	Arenicola		glacialis		peruana	Subspecies	Hartmann-Schröder, 1960	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:340850	
336361	129868	Arenicola		natalis	Girard, 1856				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:336361	
336363	129868	Arenicola		piscatorum	Lamarck, 1801				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:336363	
336366	129868	Arenicola		tinctoria	Leach, 1816				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:336366	
336369	129868	Clymenides		sulfurea	Claparède, 1863				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:336369	
336754	333028	Euphrosine		rosacea	Blake, 1985				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:336754	
339656	157214	Eupolynoe		anticostiensis	McIntosh, 1874				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:339656	
336026	332881	Eupompe		grubei	Kinberg, 1856				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:336026	
340449	333029	Halosydna		fragilis	(Baird, 1863)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:340449	
338914	333030	Halosydna		leioseta	Chamberlin, 1919				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:338914	
338917	254301	Halosydna		succiniseta	Hamilton, 1915				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:338917	
337646	333031	Harmothoe		sinagawaensis	Izuka, 1912				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:337646	
336051	129739	Heterocirrus		frontifilis	Grube, 1860				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:336051	
338927	333029	Lepidonotus		fragilis	Baird, 1863				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:338927	
338931	254301	Lepidonotus		lordi	Baird, 1863				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:338931	
154886	129868	Lumbricus		marinus	Linnaeus, 1758				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:154886	
336370	129868	Lumbricus		papillosus	Fabricius, 1780				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:336370	
336344	129868	Nereis		lumbricoides	Pallas, 1788				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:336344	
381092	130983	Apomatopsis		ampulliferus	(Philippi, 1844)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:381092	
381094	326535	Apomatopsis		enoshimae	(Marenzeller, 1885)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:381094	
381093	326535	Apomatopsis		enosimae	(Marenzeller, 1885)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:381093	
381095	333009	Apomatopsis		geniculata	(Moore & Bush, 1904)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:381095	
326536	130983	Apomatus		giganteus	Iroso, 1921				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:326536	
326538	333009	Apomatus		timsii	Pixell, 1912				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:326538	
130453	532018	Aponuphis		bilineata		grubii	Subspecies	(Marenzeller, 1886)	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:130453	
333017	129854	Arabella	Arabella	iricolor	(Montagu, 1804)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:333017	
333018	326554	Arabella	Arabella	pectinata	Fauchald, 1970				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:333018	
