ID	ReferenceType	ReferenceID	
345892	NomRef	154053	
345895	NomRef	152417	
367384	TaxAccRef	124412	
412903	NomRef	124410	
412908	TaxAccRef	154053	
412920	NomRef	124410	
412935	TaxAccRef	124410	
412969	TaxAccRef	124410	
413005	NomRef	124410	
413022	NomRef	124410	
413033	TaxAccRef	124410	
413037	TaxAccRef	124410	
413063	TaxAccRef	47834	
413080	TaxAccRef	47834	
413095	TaxAccRef	152417	
413097	TaxAccRef	47834	
413110	TaxAccRef	47834	
493409	TaxAccRef	154053	
493426	TaxAccRef	154053	
493460	TaxAccRef	154053	
493477	TaxAccRef	154053	
493494	TaxAccRef	154053	
493511	TaxAccRef	154053	
493519	TaxAccRef	152417	
493528	TaxAccRef	154053	
493532	TaxAccRef	152417	
493545	TaxAccRef	154053	
493600	TaxAccRef	152417	
493651	TaxAccRef	152417	
493668	TaxAccRef	152417	
549519	NomRef	152417	
760150	NomRef	176582	
367318	TaxAccRef	154053	
367324	TaxAccRef	124410	
391888	TaxAccRef	154053	
409643	TaxAccRef	154053	
412901	NomRef	124410	
412907	TaxAccRef	124410	
412912	TaxAccRef	124410	
412938	NomRef	154053	
412953	TaxAccRef	154053	
412971	TaxAccRef	124410	
412980	TaxAccRef	124410	
412999	NomRef	124410	
413014	TaxAccRef	124410	
413016	TaxAccRef	152417	
413065	TaxAccRef	47834	
413074	TaxAccRef	47834	
413076	TaxAccRef	154053	
413099	TaxAccRef	47834	
493304	TaxAccRef	152417	
493305	TaxAccRef	154053	
493330	TaxAccRef	154053	
493373	TaxAccRef	154053	
493407	TaxAccRef	154053	
493505	TaxAccRef	154053	
493530	TaxAccRef	154053	
493573	TaxAccRef	154053	
493607	TaxAccRef	154053	
493666	TaxAccRef	154053	
493670	TaxAccRef	152417	
549505	NomRef	154053	
549514	NomRef	154053	
549539	NomRef	154053	
549544	NomRef	154053	
549569	NomRef	154053	
760150	NomRef	47834	
760152	NomRef	176582	
760185	NomRef	176581	
760186	NomRef	176582	
760189	NomRef	47834	
345840	TaxAccRef	47834	
345897	TaxAccRef	47834	
409640	NomRef	47834	
412955	TaxAccRef	124410	
412962	TaxAccRef	124410	
413001	NomRef	152417	
413011	TaxAccRef	152417	
413048	NomRef	47834	
413051	TaxAccRef	47834	
413058	TaxAccRef	47834	
413060	TaxAccRef	154053	
413075	TaxAccRef	152417	
413081	TaxAccRef	47834	
493286	TaxAccRef	152417	
493314	TaxAccRef	154053	
493321	TaxAccRef	154053	
493486	TaxAccRef	152417	
493629	TaxAccRef	152417	
493691	TaxAccRef	154053	
549505	NomRef	152417	
367329	TaxAccRef	154053	
391895	TaxAccRef	154053	
409622	TaxAccRef	132081	
412914	TaxAccRef	124410	
412916	TaxAccRef	152417	
412933	NomRef	124410	
412981	NomRef	152417	
412984	TaxAccRef	152417	
413001	NomRef	124410	
413007	TaxAccRef	124410	
413016	TaxAccRef	124410	
413035	NomRef	124410	
413046	TaxAccRef	124410	
413067	TaxAccRef	47834	
413076	TaxAccRef	47834	
413101	TaxAccRef	47834	
413106	TaxAccRef	47834	
493302	TaxAccRef	152417	
493413	TaxAccRef	152417	
493481	TaxAccRef	152417	
493532	TaxAccRef	154053	
493545	TaxAccRef	152417	
493575	TaxAccRef	154053	
493698	TaxAccRef	154053	
549444	NomRef	154053	
345904	TaxAccRef	152417	
367327	NomRef	152417	
412906	TaxAccRef	152417	
412919	NomRef	152417	
412920	NomRef	152417	
412928	TaxAccRef	124410	
412942	TaxAccRef	124410	
412945	TaxAccRef	124410	
412953	TaxAccRef	152417	
412959	TaxAccRef	124410	
412966	TaxAccRef	154053	
412978	NomRef	124410	
413005	NomRef	152417	
413016	TaxAccRef	154053	
