AcceptedTaxonID	DistributionElement	StandardInUse	DistributionStatus	
413047	Arctic Ocean	Text		
410037	Arctic Ocean	Text		
413051	Arctic Ocean	Text		
409602	Arctic Ocean	Text		
413052	Arctic Ocean	Text		
345829	Arctic Ocean	Text		
345901	Arctic Ocean	Text		
345904	Arctic Ocean	Text		
345914	Arctic Ocean	Text		
393178	Arctic Ocean	Text		
391960	Arctic Ocean	Text		
412949	Arctic Ocean	Text		
345861	Arctic Ocean	Text		
412942	Arctic Ocean	Text		
367329	Arctic Ocean	Text		
413056	Arctic Ocean	Text		
412942	North Atlantic	Text		
413030	North Atlantic	Text		
413030	North Atlantic	Text		
412949	North Atlantic	Text		
346135	North Atlantic	Text		
412947	North Atlantic	Text		
413067	North Atlantic	Text		
345904	North Atlantic	Text		
413105	North Atlantic	Text		
413052	North Atlantic	Text		
345840	North Atlantic	Text		
345897	North Atlantic	Text		
413016	North Atlantic	Text		
413101	North Atlantic	Text		
413103	North Atlantic	Text		
413047	North Atlantic	Text		
413049	North Atlantic	Text		
412909	North Atlantic	Text		
413058	North Atlantic	Text		
413098	North Atlantic	Text		
413014	North Atlantic	Text		
412912	North Atlantic	Text		
413099	North Atlantic	Text		
413110	Sea of Japan	Text		
409622	Sea of Japan	Text		
413047	Sea of Japan	Text		
410037	Sea of Japan	Text		
412959	Sea of Japan	Text		
409602	Sea of Japan	Text		
345829	Sea of Japan	Text		
412953	Sea of Japan	Text		
412949	Sea of Japan	Text		
412940	Sea of Japan	Text		
412955	Sea of Japan	Text		
412955	Sea of Japan	Text		
549439	South China Sea	Text		
345840	Gulf of California	Text		
345829	Gulf of California	Text		
413078	Gulf of California	Text		
412990	Gulf of California	Text		
345901	Gulf of California	Text		
413088	Gulf of California	Text		
413037	Gulf of California	Text		
409643	Gulf of California	Text		
413080	Gulf of California	Text		
413081	Gulf of California	Text		
413082	Gulf of California	Text		
413083	Gulf of California	Text		
412953	Gulf of California	Text		
235746	Gulf of California	Text		
412947	Gulf of California	Text		
412949	Gulf of California	Text		
367324	Gulf of California	Text		
346135	Gulf of California	Text		
413067	Gulf of California	Text		
413027	Gulf of California	Text		
413065	Gulf of California	Text		
413066	Gulf of California	Text		
412945	Gulf of California	Text		
413079	Gulf of California	Text		
345904	Gulf of California	Text		
413093	Gulf of California	Text		
413064	Gulf of California	Text		
412940	Gulf of California	Text		
412992	Gulf of California	Text		
413090	Gulf of California	Text		
413091	Gulf of California	Text		
413092	Gulf of California	Text		
413023	Gulf of California	Text		
413024	Gulf of California	Text		
412961	Gulf of California	Text		
413076	Gulf of California	Text		
413021	Gulf of California	Text		
412959	Gulf of California	Text		
413063	Gulf of California	Text		
413016	Gulf of California	Text		
412928	Gulf of California	Text		
413060	Gulf of California	Text		
412916	Gulf of California	Text		
412993	Gulf of California	Text		
413070	Gulf of California	Text		
410037	Gulf of California	Text		
413074	Gulf of California	Text		
413008	Gulf of California	Text		
413075	Gulf of California	Text		
413071	Gulf of California	Text		
413072	Gulf of California	Text		
413073	Gulf of California	Text		
413057	Gulf of California	Text		
413047	Gulf of California	Text		
493675	Gulf of California	Text		
412907	Gulf of California	Text		
412909	Gulf of California	Text		
413058	Gulf of California	Text		
413049	Gulf of California	Text		
412987	Gulf of California	Text		
413012	Gulf of California	Text		
413069	Gulf of California	Text		
413046	Gulf of California	Text		
413033	Gulf of California	Text		
413011	Gulf of California	Text		
412912	Gulf of California	Text		
412930	Gulf of California	Text		
413030	Gulf of California	Text		
412955	Gulf of California	Text		
413095	Gulf of California	Text		
413096	Gulf of California	Text		
412942	Gulf of California	Text		
413068	Gulf of California	Text		
412984	Gulf of California	Text		
413097	Gulf of California	Text		
235746	Rijeka Bay	Text		
412953	Sea of Okhotsk	Text		
412990	Nordic Seas	Text		
345901	Nordic Seas	Text		
235746	Nordic Seas	Text		
413053	Nordic Seas	Text		
413105	Nordic Seas	Text		
345829	Nordic Seas	Text		
413078	Nordic Seas	Text		
413104	Nordic Seas	Text		
345840	Nordic Seas	Text		
409602	Nordic Seas	Text		
413052	Nordic Seas	Text		
391960	Nordic Seas	Text		
345904	Nordic Seas	Text		
393178	Nordic Seas	Text		
413106	Nordic Seas	Text		
345914	Nordic Seas	Text		
412945	Nordic Seas	Text		
413067	Nordic Seas	Text		
346135	Nordic Seas	Text		
412949	Nordic Seas	Text		
412947	Nordic Seas	Text		
413014	Nordic Seas	Text		
413098	Nordic Seas	Text		
412912	Nordic Seas	Text		
413011	Nordic Seas	Text		
413033	Nordic Seas	Text		
412987	Nordic Seas	Text		
413099	Nordic Seas	Text		
413101	Nordic Seas	Text		
413049	Nordic Seas	Text		
413058	Nordic Seas	Text		
412909	Nordic Seas	Text		
413047	Nordic Seas	Text		
413057	Nordic Seas	Text		
413103	Nordic Seas	Text		
410037	Nordic Seas	Text		
413102	Nordic Seas	Text		
367388	Nordic Seas	Text		
413070	Nordic Seas	Text		
412994	Nordic Seas	Text		
345897	Nordic Seas	Text		
385291	Nordic Seas	Text		
413100	Nordic Seas	Text		
412928	Nordic Seas	Text		
413051	Nordic Seas	Text		
413016	Nordic Seas	Text		
413056	Nordic Seas	Text		
413068	Nordic Seas	Text		
345861	Nordic Seas	Text		
412942	Nordic Seas	Text		
367329	Nordic Seas	Text		
