ID	ReferenceType	ReferenceID	
385312	TaxAccRef	124410	
412938	TaxAccRef	124410	
412945	TaxAccRef	154053	
412949	TaxAccRef	124410	
413057	TaxAccRef	47834	
413082	TaxAccRef	47834	
413100	TaxAccRef	47834	
493304	TaxAccRef	154053	
493322	TaxAccRef	154053	
493372	TaxAccRef	154053	
493433	TaxAccRef	154053	
493483	TaxAccRef	154053	
493590	TaxAccRef	154053	
493633	TaxAccRef	154053	
493658	TaxAccRef	154053	
549453	TaxAccRef	154053	
549542	TaxAccRef	154053	
345840	TaxAccRef	47834	
345897	TaxAccRef	47834	
412898	TaxAccRef	124410	
412932	TaxAccRef	124410	
412955	TaxAccRef	124410	
412962	TaxAccRef	124410	
413051	TaxAccRef	47834	
413058	TaxAccRef	47834	
413060	TaxAccRef	154053	
413081	TaxAccRef	47834	
493314	TaxAccRef	154053	
493321	TaxAccRef	154053	
493691	TaxAccRef	154053	
549536	TaxAccRef	154053	
549545	TaxAccRef	154053	
391962	TaxAccRef	47834	
412898	TaxAccRef	154053	
412928	TaxAccRef	124410	
412942	TaxAccRef	124410	
412945	TaxAccRef	124410	
412959	TaxAccRef	124410	
412966	TaxAccRef	154053	
413016	TaxAccRef	154053	
413027	TaxAccRef	124410	
413053	TaxAccRef	47834	
413063	TaxAccRef	154053	
413086	TaxAccRef	47834	
413103	TaxAccRef	47834	
413104	TaxAccRef	47834	
493368	TaxAccRef	154053	
493500	TaxAccRef	154053	
493504	TaxAccRef	154053	
493518	TaxAccRef	154053	
493568	TaxAccRef	154053	
760187	TaxAccRef	47834	
345861	TaxAccRef	47834	
345904	TaxAccRef	154053	
367325	TaxAccRef	124410	
367327	TaxAccRef	124410	
410037	TaxAccRef	47834	
412919	TaxAccRef	124410	
412953	TaxAccRef	124410	
412968	TaxAccRef	124410	
412990	TaxAccRef	154053	
413017	TaxAccRef	124410	
413034	TaxAccRef	124410	
413060	TaxAccRef	47834	
413075	TaxAccRef	154053	
413079	TaxAccRef	47834	
413088	TaxAccRef	154053	
413096	TaxAccRef	47834	
413105	TaxAccRef	154053	
493293	TaxAccRef	154053	
493378	TaxAccRef	154053	
493542	TaxAccRef	154053	
493693	TaxAccRef	154053	
345889	TaxAccRef	47843	
345904	TaxAccRef	47834	
367320	TaxAccRef	124410	
412897	TaxAccRef	154053	
412925	TaxAccRef	124410	
412961	TaxAccRef	124410	
412975	TaxAccRef	124410	
413011	TaxAccRef	124410	
413025	TaxAccRef	124410	
413052	TaxAccRef	47834	
413088	TaxAccRef	47834	
413102	TaxAccRef	47834	
493284	TaxAccRef	154053	
493335	TaxAccRef	154053	
493370	TaxAccRef	154053	
493534	TaxAccRef	154053	
493535	TaxAccRef	154053	
493621	TaxAccRef	154053	
493670	TaxAccRef	154053	
549572	TaxAccRef	154053	
760189	TaxAccRef	47834	
345892	TaxAccRef	154053	
367318	TaxAccRef	154053	
367324	TaxAccRef	124410	
367327	TaxAccRef	154053	
391888	TaxAccRef	154053	
409623	TaxAccRef	47834	
409643	TaxAccRef	154053	
412907	TaxAccRef	124410	
412912	TaxAccRef	124410	
412953	TaxAccRef	154053	
412971	TaxAccRef	124410	
412980	TaxAccRef	124410	
413005	TaxAccRef	124410	
413014	TaxAccRef	124410	
413017	TaxAccRef	154053	
413065	TaxAccRef	47834	
413074	TaxAccRef	47834	
413076	TaxAccRef	154053	
413099	TaxAccRef	47834	
493305	TaxAccRef	154053	
493330	TaxAccRef	154053	
493373	TaxAccRef	154053	
493407	TaxAccRef	154053	
493505	TaxAccRef	154053	
493530	TaxAccRef	154053	
493573	TaxAccRef	154053	
493607	TaxAccRef	154053	
493666	TaxAccRef	154053	
367321	TaxAccRef	124410	
409638	TaxAccRef	47834	
412906	TaxAccRef	124410	
412981	TaxAccRef	124410	
412999	TaxAccRef	124410	
413024	TaxAccRef	124410	
413027	TaxAccRef	154053	
413050	TaxAccRef	47834	
413064	TaxAccRef	47834	
413068	TaxAccRef	47834	
413075	TaxAccRef	47834	
413093	TaxAccRef	47834	
493354	TaxAccRef	154053	
493597	TaxAccRef	154053	
493622	TaxAccRef	154053	
493672	TaxAccRef	154053	
549485	TaxAccRef	154053	
549535	TaxAccRef	154053	
367384	TaxAccRef	124412	
412901	TaxAccRef	124410	
412908	TaxAccRef	154053	
412918	TaxAccRef	124410	
412935	TaxAccRef	124410	
412938	TaxAccRef	154053	
412969	TaxAccRef	124410	
413033	TaxAccRef	124410	
413037	TaxAccRef	124410	
413063	TaxAccRef	47834	
413080	TaxAccRef	47834	
413097	TaxAccRef	47834	
413110	TaxAccRef	47834	
493409	TaxAccRef	154053	
493426	TaxAccRef	154053	
493460	TaxAccRef	154053	
493477	TaxAccRef	154053	
493494	TaxAccRef	154053	
493511	TaxAccRef	154053	
493528	TaxAccRef	154053	
493545	TaxAccRef	154053	
549514	TaxAccRef	154053	
549531	TaxAccRef	154053	
345861	TaxAccRef	124410	
345901	TaxAccRef	47834	
367318	TaxAccRef	124410	
412909	TaxAccRef	124410	
412910	TaxAccRef	124410	
412916	TaxAccRef	154053	
412930	TaxAccRef	154053	
412978	TaxAccRef	124410	
412995	TaxAccRef	124410	
413071	TaxAccRef	47834	
413072	TaxAccRef	47834	
413099	TaxAccRef	154053	
493519	TaxAccRef	154053	
493537	TaxAccRef	154053	
493668	TaxAccRef	154053	
549539	TaxAccRef	154053	
549757	TaxAccRef	154053	
345895	TaxAccRef	64	
367382	TaxAccRef	124412	
385291	TaxAccRef	124410	
395978	TaxAccRef	127204	
412903	TaxAccRef	124410	
412906	TaxAccRef	154053	
412916	TaxAccRef	124410	
412920	TaxAccRef	124410	
412923	TaxAccRef	154053	
412933	TaxAccRef	124410	
412950	TaxAccRef	124410	
412984	TaxAccRef	124410	
413001	TaxAccRef	124410	
413008	TaxAccRef	154053	
413018	TaxAccRef	124410	
