ID	ReferenceType	ReferenceID	
132627	ComNameRef	147411	
165251	ComNameRef	147411	
133941	ComNameRef	147411	
133913	ComNameRef	163039	
166616	ComNameRef	163039	
166837	ComNameRef	163039	
134311	ComNameRef	163039	
132233	ComNameRef	1116	
134121	ComNameRef	1116	
134024	ComNameRef	147411	
133961	ComNameRef	147411	
133247	ComNameRef	7566	
165853	ComNameRef	147412	
133913	ComNameRef	163039	
134121	ComNameRef	163039	
165081	ComNameRef	163039	
266969	ComNameRef	163039	
132233	ComNameRef	1116	
134251	ComNameRef	1116	
220440	ComNameRef	6066	
133938	ComNameRef	147411	
133904	ComNameRef	6066	
132736	ComNameRef	147412	
152475	ComNameRef	147412	
133913	ComNameRef	163039	
132321	ComNameRef	163039	
132321	ComNameRef	163039	
134311	ComNameRef	163039	
132252	ComNameRef	9880	
191482	ComNameRef	147411	
132430	ComNameRef	147411	
166637	ComNameRef	150220	
132407	ComNameRef	151643	
132762	ComNameRef	2901	
134285	ComNameRef	2901	
132216	ComNameRef	685	
134011	ComNameRef	147411	
165250	ComNameRef	147411	
134121	ComNameRef	147412	
132216	ComNameRef	147412	
133911	ComNameRef	163039	
133693	ComNameRef	163039	
165081	ComNameRef	163039	
132473	ComNameRef	10085	
165220	ComNameRef	147411	
132377	ComNameRef	147411	
134121	ComNameRef	1116	
132627	ComNameRef	1116	
134025	ComNameRef	147411	
132627	ComNameRef	685	
132627	ComNameRef	757	
132627	ComNameRef	1116	
132316	ComNameRef	147412	
133913	ComNameRef	163039	
132321	ComNameRef	163039	
133693	ComNameRef	163039	
134311	ComNameRef	163039	
132275	ComNameRef	9880	
132407	ComNameRef	147411	
133296	ComNameRef	1116	
194119	ComNameRef	6066	
134348	ComNameRef	147411	
167144	ComNameRef	147412	
244432	ComNameRef	147412	
134112	ComNameRef	163039	
134146	ComNameRef	163039	
132324	ComNameRef	163039	
134139	ComNameRef	9880	
236327	ComNameRef	140199	
132511	ComNameRef	147411	
132588	ComNameRef	685	
133259	ComNameRef	147412	
132472	ComNameRef	163039	
132321	ComNameRef	163039	
132321	ComNameRef	163039	
133693	ComNameRef	163039	
134121	ComNameRef	9880	
133296	ComNameRef	1116	
168413	ComNameRef	6066	
220444	ComNameRef	6561	
132258	ComNameRef	685	
714090	ComNameRef	3042	
134210	ComNameRef	147412	
132499	ComNameRef	163039	
166616	ComNameRef	163039	
133679	ComNameRef	163039	
132380	ComNameRef	147411	
165160	ComNameRef	147411	
165801	ComNameRef	147411	
132627	ComNameRef	1116	
221468	ComNameRef	6561	
165220	ComNameRef	147411	
133911	ComNameRef	163043	
132324	ComNameRef	163039	
133693	ComNameRef	163039	
132233	ComNameRef	1116	
134121	ComNameRef	1116	
165171	ComNameRef	6066	
132499	ComNameRef	151643	
157373	ComNameRef	2901	
132218	ComNameRef	2901	
132833	ComNameRef	145894	
134121	ComNameRef	685	
134121	ComNameRef	755	
132833	ComNameRef	685	
132833	ComNameRef	755	
165160	ComNameRef	147411	
134285	ComNameRef	147412	
134112	ComNameRef	163043	
133928	ComNameRef	163039	
166837	ComNameRef	163039	
266969	ComNameRef	163039	
132883	ComNameRef	685	
132883	ComNameRef	1116	
134106	ComNameRef	147411	
169378	ComNameRef	6066	
236327	ComNameRef	147412	
134112	ComNameRef	163039	
134121	ComNameRef	163039	
134146	ComNameRef	163039	
134146	ComNameRef	9880	
132833	ComNameRef	147411	
134311	ComNameRef	147411	
168257	ComNameRef	6066	
157411	ComNameRef	2901	
132233	ComNameRef	685	
132377	ComNameRef	147411	
132201	ComNameRef	147412	
132317	ComNameRef	147412	
150243	ComNameRef	147412	
132487	ComNameRef	163039	
165081	ComNameRef	163039	
266969	ComNameRef	163039	
132627	ComNameRef	1116	
132627	ComNameRef	1116	
132181	ComNameRef	147411	
166083	ComNameRef	6066	
134311	ComNameRef	151643	
132275	ComNameRef	163043	
132275	ComNameRef	163043	
133928	ComNameRef	163039	
133928	ComNameRef	147411	
132233	ComNameRef	1116	
220454	ComNameRef	6561	
132377	ComNameRef	151643	
134282	ComNameRef	151643	
132588	ComNameRef	2901	
132216	ComNameRef	2901	
133958	ComNameRef	147411	
166837	ComNameRef	163039	
266969	ComNameRef	163039	
266969	ComNameRef	163039	
132251	ComNameRef	1116	
132251	ComNameRef	1116	
132833	ComNameRef	1116	
166902	ComNameRef	6066	
134121	ComNameRef	1116	
134121	ComNameRef	2901	
132454	ComNameRef	163043	
133911	ComNameRef	163039	
134112	ComNameRef	163043	
132251	ComNameRef	685	
132251	ComNameRef	1116	
132251	ComNameRef	1116	
132833	ComNameRef	1116	
170988	ComNameRef	6066	
134285	ComNameRef	685	
132407	ComNameRef	685	
167144	ComNameRef	147411	
133904	ComNameRef	6066	
133913	ComNameRef	163039	
133693	ComNameRef	163039	
165081	ComNameRef	163039	
133296	ComNameRef	1116	
133296	ComNameRef	1116	
414503	TaxAccRef	7351	
169463	TaxAccRef	8582	
132962	TaxAccRef	7480	
236437	TaxAccRef	7556	
236120	TaxAccRef	8430	
467046	TaxAccRef	7814	
175246	TaxAccRef	7750	
175297	TaxAccRef	7750	
132865	TaxAccRef	47872	
530947	TaxAccRef	7867	
171921	TaxAccRef	8206	
380411	TaxAccRef	7897	
134110	TaxAccRef	8175	
169126	TaxAccRef	7776	
168252	TaxAccRef	141259	
133206	TaxAccRef	663	
132825	TaxAccRef	1421	
167564	TaxAccRef	7251	
414494	TaxAccRef	8095	
367417	TaxAccRef	124431	
576824	TaxAccRef	8535	
192080	TaxAccRef	1297	
193627	TaxAccRef	7763	
165334	TaxAccRef	7821	
167091	TaxAccRef	7284	
133358	TaxAccRef	8182	
132335	TaxAccRef	8446	
193568	TaxAccRef	7675	
164928	TaxAccRef	8930	
170813	TaxAccRef	7198	
192404	TaxAccRef	7417	
133042	TaxAccRef	1421	
134395	TaxAccRef	1421	
170798	TaxAccRef	7776	
133138	TaxAccRef	167992	
150219	TaxAccRef	7694	
194648	TaxAccRef	7342	
132378	TaxAccRef	7763	
169076	TaxAccRef	8393	
166164	TaxAccRef	9914	
169542	TaxAccRef	8477	
193885	TaxAccRef	7341	
171439	TaxAccRef	145469	
380405	TaxAccRef	9293	
164982	TaxAccRef	7114	
169875	NomRef	8297	
169926	TaxAccRef	8252	
555792	TaxAccRef	8421	
428862	TaxAccRef	133468	
134391	TaxAccRef	150860	
241213	TaxAccRef	8183	
170985	TaxAccRef	7126	
238724	TaxAccRef	9025	
168254	TaxAccRef	7401	
134211	TaxAccRef	8040	
134360	TaxAccRef	9419	
190784	TaxAccRef	9001	
166659	TaxAccRef	8594	
178368	TaxAccRef	8265	
134315	TaxAccRef	7480	
175048	TaxAccRef	7727	
132157	TaxAccRef	1421	
134236	TaxAccRef	9269	
171276	TaxAccRef	7292	
391061	TaxAccRef	129804	
239051	TaxAccRef	7612	
170508	TaxAccRef	8404	
169477	TaxAccRef	8583	
195383	TaxAccRef	7686	
236164	TaxAccRef	7223	
577447	TaxAccRef	8341	
193027	TaxAccRef	9029	
134322	TaxAccRef	7839	
181164	TaxAccRef	7698	
368027	TaxAccRef	124597	
194293	TaxAccRef	7124	
132655	TaxAccRef	1421	
191171	TaxAccRef	7448	
168762	TaxAccRef	9022	
191512	TaxAccRef	7775	
192595	TaxAccRef	8039	
196748	TaxAccRef	7780	
175054	TaxAccRef	7832	
171884	TaxAccRef	132582	
191723	TaxAccRef	8210	
178445	TaxAccRef	7353	
167273	TaxAccRef	7631	
172000	TaxAccRef	7680	
167251	TaxAccRef	7051	
193833	TaxAccRef	7377	
168160	TaxAccRef	7724	
