ID	ReferenceType	ReferenceID	
132472	ComNameRef	163039	
134121	ComNameRef	9880	
132321	ComNameRef	163039	
132321	ComNameRef	163039	
133259	ComNameRef	147412	
132588	ComNameRef	685	
133296	ComNameRef	1116	
133693	ComNameRef	163039	
220454	ComNameRef	6561	
132588	ComNameRef	2901	
132833	ComNameRef	1116	
132377	ComNameRef	151643	
133958	ComNameRef	147411	
132216	ComNameRef	2901	
166837	ComNameRef	163039	
266969	ComNameRef	163039	
266969	ComNameRef	163039	
134282	ComNameRef	151643	
132251	ComNameRef	1116	
132251	ComNameRef	1116	
134112	ComNameRef	163039	
134121	ComNameRef	163039	
134146	ComNameRef	9880	
134146	ComNameRef	163039	
132833	ComNameRef	147411	
236327	ComNameRef	147412	
169378	ComNameRef	6066	
134311	ComNameRef	147411	
133913	ComNameRef	163039	
134121	ComNameRef	163039	
165853	ComNameRef	147412	
133247	ComNameRef	7566	
132233	ComNameRef	1116	
133961	ComNameRef	147411	
134251	ComNameRef	1116	
165081	ComNameRef	163039	
266969	ComNameRef	163039	
133941	ComNameRef	147411	
133913	ComNameRef	163039	
134121	ComNameRef	1116	
134024	ComNameRef	147411	
132627	ComNameRef	147411	
166616	ComNameRef	163039	
132233	ComNameRef	1116	
166837	ComNameRef	163039	
165251	ComNameRef	147411	
134311	ComNameRef	163039	
133913	ComNameRef	163039	
167144	ComNameRef	147411	
133296	ComNameRef	1116	
133296	ComNameRef	1116	
133693	ComNameRef	163039	
165081	ComNameRef	163039	
132407	ComNameRef	685	
134285	ComNameRef	685	
133904	ComNameRef	6066	
170988	ComNameRef	6066	
132487	ComNameRef	163039	
168257	ComNameRef	6066	
132181	ComNameRef	147411	
132627	ComNameRef	1116	
132627	ComNameRef	1116	
132377	ComNameRef	147411	
132201	ComNameRef	147412	
132233	ComNameRef	685	
157411	ComNameRef	2901	
132317	ComNameRef	147412	
165081	ComNameRef	163039	
150243	ComNameRef	147412	
266969	ComNameRef	163039	
166083	ComNameRef	6066	
132275	ComNameRef	163043	
132275	ComNameRef	163043	
132233	ComNameRef	1116	
133928	ComNameRef	147411	
133928	ComNameRef	163039	
134311	ComNameRef	151643	
132499	ComNameRef	151643	
134112	ComNameRef	163043	
157373	ComNameRef	2901	
134121	ComNameRef	685	
134121	ComNameRef	755	
132833	ComNameRef	685	
132833	ComNameRef	755	
132833	ComNameRef	145894	
132883	ComNameRef	685	
132883	ComNameRef	1116	
132218	ComNameRef	2901	
133928	ComNameRef	163039	
166837	ComNameRef	163039	
165160	ComNameRef	147411	
165171	ComNameRef	6066	
266969	ComNameRef	163039	
134285	ComNameRef	147412	
134106	ComNameRef	147411	
133913	ComNameRef	163039	
220440	ComNameRef	6066	
132321	ComNameRef	163039	
132321	ComNameRef	163039	
166637	ComNameRef	150220	
191482	ComNameRef	147411	
132736	ComNameRef	147412	
152475	ComNameRef	147412	
133938	ComNameRef	147411	
132430	ComNameRef	147411	
132252	ComNameRef	9880	
133904	ComNameRef	6066	
134311	ComNameRef	163039	
132454	ComNameRef	163043	
133911	ComNameRef	163039	
134112	ComNameRef	163043	
134121	ComNameRef	1116	
134121	ComNameRef	2901	
132833	ComNameRef	1116	
132251	ComNameRef	685	
132251	ComNameRef	1116	
132251	ComNameRef	1116	
166902	ComNameRef	6066	
133911	ComNameRef	163043	
134121	ComNameRef	1116	
132324	ComNameRef	163039	
132233	ComNameRef	1116	
133693	ComNameRef	163039	
221468	ComNameRef	6561	
165220	ComNameRef	147411	
133911	ComNameRef	163039	
132473	ComNameRef	10085	
132762	ComNameRef	2901	
134121	ComNameRef	1116	
134121	ComNameRef	147412	
134011	ComNameRef	147411	
134025	ComNameRef	147411	
132627	ComNameRef	1116	
132377	ComNameRef	147411	
132216	ComNameRef	685	
132216	ComNameRef	147412	
133693	ComNameRef	163039	
165081	ComNameRef	163039	
165220	ComNameRef	147411	
165250	ComNameRef	147411	
132407	ComNameRef	151643	
134285	ComNameRef	2901	
132499	ComNameRef	163039	
165801	ComNameRef	147411	
132627	ComNameRef	1116	
166616	ComNameRef	163039	
714090	ComNameRef	3042	
133679	ComNameRef	163039	
134210	ComNameRef	147412	
220444	ComNameRef	6561	
165160	ComNameRef	147411	
132380	ComNameRef	147411	
132258	ComNameRef	685	
168413	ComNameRef	6066	
133913	ComNameRef	163039	
132275	ComNameRef	9880	
132321	ComNameRef	163039	
132627	ComNameRef	685	
132627	ComNameRef	757	
132627	ComNameRef	1116	
133296	ComNameRef	1116	
133693	ComNameRef	163039	
132316	ComNameRef	147412	
132407	ComNameRef	147411	
134311	ComNameRef	163039	
134112	ComNameRef	163039	
134139	ComNameRef	9880	
134146	ComNameRef	163039	
132324	ComNameRef	163039	
167144	ComNameRef	147412	
236327	ComNameRef	140199	
244432	ComNameRef	147412	
132511	ComNameRef	147411	
134348	ComNameRef	147411	
194119	ComNameRef	6066	
170383	TaxAccRef	8990	
189941	TaxAccRef	8096	
171788	TaxAccRef	7920	
195431	TaxAccRef	142039	
193314	TaxAccRef	7412	
132833	TaxAccRef	1297	
170989	TaxAccRef	9812	
133694	TaxAccRef	7854	
190547	TaxAccRef	7661	
193975	TaxAccRef	7221	
132959	TaxAccRef	1421	
193434	TaxAccRef	7794	
412834	TaxAccRef	8096	
732704	TaxAccRef	7741	
195695	TaxAccRef	7655	
192085	TaxAccRef	7208	
170937	TaxAccRef	142121	
234229	TaxAccRef	7402	
241244	TaxAccRef	7612	
193697	TaxAccRef	7763	
192204	TaxAccRef	7690	
195606	TaxAccRef	7820	
715632	TaxAccRef	8099	
170536	TaxAccRef	7852	
196271	TaxAccRef	8306	
192289	TaxAccRef	7394	
193192	TaxAccRef	7111	
167009	TaxAccRef	6217	
166304	TaxAccRef	9061	
170639	TaxAccRef	168513	
385468	TaxAccRef	127098	
234328	TaxAccRef	7290	
190406	TaxAccRef	6410	
168844	TaxAccRef	7856	
190354	TaxAccRef	7358	
133525	TaxAccRef	1421	
170050	TaxAccRef	8974	
196621	TaxAccRef	7776	
191154	TaxAccRef	7715	
170466	TaxAccRef	9254	
169395	TaxAccRef	9877	
168468	TaxAccRef	7745	
133478	TaxAccRef	9868	
169886	TaxAccRef	172674	
191100	TaxAccRef	7655	
192093	TaxAccRef	7229	
422940	TaxAccRef	7731	
133838	TaxAccRef	9028	
194783	TaxAccRef	671	
170527	TaxAccRef	7571	
166380	TaxAccRef	8298	
134416	TaxAccRef	9122	
193646	TaxAccRef	7763	
170675	TaxAccRef	8095	
134052	TaxAccRef	9221	
191927	TaxAccRef	7897	
196344	TaxAccRef	8099	
132761	TaxAccRef	9061	
134306	TaxAccRef	9269	
134083	TaxAccRef	6217	
171455	TaxAccRef	7855	
191830	TaxAccRef	7617	
133999	TaxAccRef	8942	
190366	TaxAccRef	7818	
133902	TaxAccRef	7036	
196700	TaxAccRef	7192	
133491	TaxAccRef	1421	
132786	TaxAccRef	7514	
233139	TaxAccRef	8463	
164741	TaxAccRef	47877	
134336	TaxAccRef	8180	
195723	TaxAccRef	7675	
191052	TaxAccRef	7050	
195523	TaxAccRef	7675	
235307	TaxAccRef	8184	
165517	TaxAccRef	132582	
132429	TaxAccRef	8942	
238364	TaxAccRef	7780	
133946	TaxAccRef	8175	
164164	TaxAccRef	132582	
244427	TaxAccRef	7655	
