AcceptedTaxonID	ParentSpeciesID	InfraSpeciesEpithet	InfraSpeciesAuthorString	InfraSpeciesMarker	GSDNameStatus	Sp2000NameStatus	IsFossil	LifeZone	AdditionalData	LTSSpecialist	LTSDate	InfraSpeciesURL	GSDTaxonGUI	GSDNameGUI	
742609	165649	var. inconspicua	Thiele, 1898	Variety	accepted	Accepted name	0	marine		van Soest, Rob	2013-10-13 21:18:00	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=742609		urn:lsid:marinespecies.org:taxname:742609	
164834	164833	var. oxeata	Lévi, 1961	Variety	accepted	Accepted name	0	marine		van Soest, Rob	2010-03-22 20:18:53	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=164834		urn:lsid:marinespecies.org:taxname:164834	
225697	225695	digitatus	(Miklucho-Maclay, 1870)	Subspecies	accepted	Accepted name	0	marine		van Soest, Rob	2007-06-22 16:34:17	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=225697		urn:lsid:marinespecies.org:taxname:225697	
225698	225695	infundibulus	(Koltun, 1958)	Subspecies	accepted	Accepted name	0	marine		van Soest, Rob	2008-05-06 10:34:11	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=225698		urn:lsid:marinespecies.org:taxname:225698	
195837	134380	beatrix	Gray, 1858	Subspecies	accepted	Accepted name	0	marine		van Soest, Rob	2008-09-19 14:19:46	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=195837		urn:lsid:marinespecies.org:taxname:195837	
195838	134380	orientalis	Ijima, 1916	Subspecies	accepted	Accepted name	0	marine		van Soest, Rob	2008-09-19 14:19:46	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=195838		urn:lsid:marinespecies.org:taxname:195838	
394767	169652	var. fistularoides	(Hyatt, 1875)	Variety	accepted	Accepted name	0	marine		van Soest, Rob	2009-05-09 20:17:38	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=394767		urn:lsid:marinespecies.org:taxname:394767	
394765	169652	var. fulvoides	(Hyatt, 1875)	Variety	accepted	Accepted name	0	marine		van Soest, Rob	2009-05-09 20:17:38	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=394765		urn:lsid:marinespecies.org:taxname:394765	
167902	175138	var. lipochela	Hentschel, 1914	Variety	accepted	Accepted name	0	marine		van Soest, Rob	2010-03-26 20:23:38	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=167902		urn:lsid:marinespecies.org:taxname:167902	
168193	168192	californiana	de Laubenfels, 1935	Subspecies	accepted	Accepted name	0	marine		Vacelet, Jean	2012-08-03 15:29:49	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=168193		urn:lsid:marinespecies.org:taxname:168193	
168200	133176	orientalis	Koltun, 1970	Subspecies	accepted	Accepted name	0	marine		Vacelet, Jean	2012-08-03 15:29:49	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=168200		urn:lsid:marinespecies.org:taxname:168200	
255145	255144	fristedti	Tabachnick & Menshenina, 2007	Subspecies	accepted	Accepted name	0	marine		van Soest, Rob	2007-12-30 15:35:14	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=255145		urn:lsid:marinespecies.org:taxname:255145	
255147	255144	islandiense	Tabachnick & Menshenina, 2007	Subspecies	accepted	Accepted name	0	marine		van Soest, Rob	2007-12-30 15:35:14	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=255147		urn:lsid:marinespecies.org:taxname:255147	
255146	255144	nordazoriense	Tabachnick & Menshenina, 2007	Subspecies	accepted	Accepted name	0	marine		van Soest, Rob	2007-12-30 15:35:14	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=255146		urn:lsid:marinespecies.org:taxname:255146	
255152	255149	biacorica	Tabachnick & Menshenina, 2007	Subspecies	accepted	Accepted name	0	marine		van Soest, Rob	2007-12-30 15:35:14	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=255152		urn:lsid:marinespecies.org:taxname:255152	
255150	255149	megaatrialia	Tabachnick & Menshenina, 2007	Subspecies	accepted	Accepted name	0	marine		van Soest, Rob	2007-12-30 15:35:14	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=255150		urn:lsid:marinespecies.org:taxname:255150	
255153	255149	nordiense	Tabachnick & Menshenina, 2007	Subspecies	accepted	Accepted name	0	marine		van Soest, Rob	2007-12-30 15:35:14	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=255153		urn:lsid:marinespecies.org:taxname:255153	
255151	255149	seamounti	Tabachnick & Menshenina, 2007	Subspecies	accepted	Accepted name	0	marine		van Soest, Rob	2007-12-30 15:35:14	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=255151		urn:lsid:marinespecies.org:taxname:255151	
165450	165449	var. fruticosa	Dendy, 1916	Variety	accepted	Accepted name	0	marine		van Soest, Rob	2007-07-26 16:15:49	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=165450		urn:lsid:marinespecies.org:taxname:165450	
165453	165452	var. brevispiculata	Dendy, 1905	Variety	accepted	Accepted name	0	marine		van Soest, Rob	2012-10-12 16:32:06	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=165453		urn:lsid:marinespecies.org:taxname:165453	
172021	172020	shimushirensis	Okada, 1932	Subspecies	accepted	Accepted name	0	marine		van Soest, Rob	2010-03-12 20:15:17	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=172021		urn:lsid:marinespecies.org:taxname:172021	
165504	165503	var. kurushima	Tanita, 1961	Variety	accepted	Accepted name	0	marine		van Soest, Rob	2007-05-08 19:56:14	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=165504		urn:lsid:marinespecies.org:taxname:165504	
165515	165514	var. oxeata	Thomas, 1979	Variety	accepted	Accepted name	0	marine		van Soest, Rob	2010-03-26 20:23:38	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=165515		urn:lsid:marinespecies.org:taxname:165515	
172032	172030	var. laevis	Schulze, 1896	Variety	accepted	Accepted name	0	marine		van Soest, Rob	2010-05-26 12:00:22	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=172032		urn:lsid:marinespecies.org:taxname:172032	
724698	172030	var. pseudospinosus	Tabachnick & Menshenina, 2013	Variety	accepted	Accepted name	0	marine		Dohrmann, Martin	2013-04-11 12:01:39	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=724698		urn:lsid:marinespecies.org:taxname:724698	
168269	168267	var. sigmodragma	Lévi, 1963	Variety	accepted	Accepted name	0	marine		van Soest, Rob	2007-06-12 19:47:47	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=168269		urn:lsid:marinespecies.org:taxname:168269	
168293	133205	papillifera	(Koltun, 1958)	Subspecies	accepted	Accepted name	0	marine		van Soest, Rob	2008-03-25 09:53:48	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=168293		urn:lsid:marinespecies.org:taxname:168293	
166097	166096	var. tenuispicula	(Thum, 1903)	Variety	accepted	Accepted name	0	marine		van Soest, Rob	2007-11-02 16:43:30	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=166097		urn:lsid:marinespecies.org:taxname:166097	
166196	166149	var. salomonensis	(Dendy, 1922)	Variety	accepted	Accepted name	0	marine		van Soest, Rob	2007-11-03 19:44:00	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=166196		urn:lsid:marinespecies.org:taxname:166196	
438250	172045	similis	Tabachnick & Lévi, 2004	Subspecies	accepted	Accepted name	0	marine		van Soest, Rob	2009-12-09 12:03:16	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=438250		urn:lsid:marinespecies.org:taxname:438250	
708967	134398	var. groenlandicus	Burton, 1928	Variety	accepted	Accepted name	0	marine		van Soest, Rob	2012-10-18 12:48:19	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=708967		urn:lsid:marinespecies.org:taxname:708967	
172065	172064	juvenilis	Tabachnick, 1988	Subspecies	accepted	Accepted name	0	marine		van Soest, Rob	2010-03-21 19:26:20	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=172065		urn:lsid:marinespecies.org:taxname:172065	
241015	165638	var. geniculatus	(Topsent, 1892)	Variety	accepted	Accepted name	0	marine		van Soest, Rob	2007-06-11 09:13:49	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=241015		urn:lsid:marinespecies.org:taxname:241015	
248193	248192	f. caribensis	Rützler, Duran & Piantoni, 2007	Forma	accepted	Accepted name	0	marine, fresh		van Soest, Rob	2007-11-22 15:23:56	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=248193		urn:lsid:marinespecies.org:taxname:248193	
248194	248192	f. hermatypica	Rützler, Duran & Piantoni, 2007	Forma	accepted	Accepted name	0	marine		van Soest, Rob	2007-11-22 15:23:56	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=248194		urn:lsid:marinespecies.org:taxname:248194	
170428	170427	var. laevicollis	Thiele, 1898	Variety	accepted	Accepted name	0	marine		van Soest, Rob	2010-02-23 10:31:40	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=170428		urn:lsid:marinespecies.org:taxname:170428	
168835	168834	aruensis	(Hentschel, 1912)	Subspecies	accepted	Accepted name	0	marine		van Soest, Rob	2013-09-23 14:28:34	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=168835		urn:lsid:marinespecies.org:taxname:168835	
171690	171689	erectum	(Schulze, 1899)	Subspecies	accepted	Accepted name	0	marine		van Soest, Rob	2010-04-09 20:28:10	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=171690		urn:lsid:marinespecies.org:taxname:171690	
171691	171689	gracile	(Wilson, 1904)	Subspecies	accepted	Accepted name	0	marine		van Soest, Rob	2010-04-09 20:28:10	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=171691		urn:lsid:marinespecies.org:taxname:171691	
171693	171689	tubuliferum	(Wilson, 1904)	Subspecies	accepted	Accepted name	0	marine		van Soest, Rob	2010-04-09 20:28:10	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=171693		urn:lsid:marinespecies.org:taxname:171693	
171331	171330	f. microspira	Lévi, 1967	Forma	accepted	Accepted name	0	marine		van Soest, Rob	2012-10-10 14:27:56	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=171331		urn:lsid:marinespecies.org:taxname:171331	
172075	172074	corrugata	Ijima, 1898	Subspecies	accepted	Accepted name	0	marine		van Soest, Rob	2010-04-17 19:52:53	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=172075		urn:lsid:marinespecies.org:taxname:172075	
172076	172074	meyeri	Gray, 1872	Subspecies	accepted	Accepted name	0	marine		van Soest, Rob	2008-10-03 10:01:04	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=172076		urn:lsid:marinespecies.org:taxname:172076	
172077	172074	rugosa	Ijima, 1898	Subspecies	accepted	Accepted name	0	marine		van Soest, Rob	2010-04-17 19:52:53	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=172077		urn:lsid:marinespecies.org:taxname:172077	
172078	172074	tuberosa	Ijima, 1898	Subspecies	accepted	Accepted name	0	marine		van Soest, Rob	2010-04-17 19:52:53	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=172078		urn:lsid:marinespecies.org:taxname:172078	
240434	240432	discoli	Menshenina, Tabachnick & Janussen, 2007	Subspecies	accepted	Accepted name	0	marine		van Soest, Rob	2007-05-17 12:21:03	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=240434		urn:lsid:marinespecies.org:taxname:240434	
240433	240432	krinovi	Menshenina, Tabachnick & Janussen, 2007	Subspecies	accepted	Accepted name	0	marine		van Soest, Rob	2007-05-17 12:21:03	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=240433		urn:lsid:marinespecies.org:taxname:240433	
169035	169032	digitata	Hallmann, 1912	Subspecies	accepted	Accepted name	0	marine		van Soest, Rob	2007-04-26 19:23:59	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=169035		urn:lsid:marinespecies.org:taxname:169035	
169036	169032	incrustans	(Carter, 1885)	Subspecies	accepted	Accepted name	0	marine		van Soest, Rob	2007-04-26 19:23:59	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=169036		urn:lsid:marinespecies.org:taxname:169036	
169037	169032	levis	(Lendenfeld, 1888)	Subspecies	accepted	Accepted name	0	marine		van Soest, Rob	2010-04-18 21:49:32	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=169037		urn:lsid:marinespecies.org:taxname:169037	
169038	169032	mammillata	(Carter, 1885)	Subspecies	accepted	Accepted name	0	marine		van Soest, Rob	2007-04-26 19:23:59	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=169038		urn:lsid:marinespecies.org:taxname:169038	
169039	169032	perramosa	Hallmann, 1912	Subspecies	accepted	Accepted name	0	marine		van Soest, Rob	2010-04-18 21:49:32	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=169039		urn:lsid:marinespecies.org:taxname:169039	
