ID	ReferenceType	ReferenceID	
132275	ComNameRef	9880	
133913	ComNameRef	163039	
132321	ComNameRef	163039	
133693	ComNameRef	163039	
134311	ComNameRef	163039	
132627	ComNameRef	685	
132627	ComNameRef	757	
132627	ComNameRef	1116	
133296	ComNameRef	1116	
132316	ComNameRef	147412	
132407	ComNameRef	147411	
165171	ComNameRef	6066	
165160	ComNameRef	147411	
134112	ComNameRef	163043	
133928	ComNameRef	163039	
166837	ComNameRef	163039	
266969	ComNameRef	163039	
134121	ComNameRef	685	
134121	ComNameRef	755	
132833	ComNameRef	685	
132833	ComNameRef	755	
132883	ComNameRef	685	
132883	ComNameRef	1116	
134285	ComNameRef	147412	
132499	ComNameRef	151643	
132833	ComNameRef	145894	
134106	ComNameRef	147411	
157373	ComNameRef	2901	
132218	ComNameRef	2901	
220440	ComNameRef	6066	
132252	ComNameRef	9880	
191482	ComNameRef	147411	
133913	ComNameRef	163039	
132321	ComNameRef	163039	
132321	ComNameRef	163039	
134311	ComNameRef	163039	
166637	ComNameRef	150220	
132736	ComNameRef	147412	
152475	ComNameRef	147412	
133904	ComNameRef	6066	
132430	ComNameRef	147411	
133938	ComNameRef	147411	
168257	ComNameRef	6066	
132487	ComNameRef	163039	
165081	ComNameRef	163039	
266969	ComNameRef	163039	
132627	ComNameRef	1116	
132627	ComNameRef	1116	
132201	ComNameRef	147412	
132317	ComNameRef	147412	
150243	ComNameRef	147412	
132377	ComNameRef	147411	
132181	ComNameRef	147411	
132233	ComNameRef	685	
157411	ComNameRef	2901	
221468	ComNameRef	6561	
165220	ComNameRef	147411	
133911	ComNameRef	163043	
132324	ComNameRef	163039	
133693	ComNameRef	163039	
132233	ComNameRef	1116	
134121	ComNameRef	1116	
168413	ComNameRef	6066	
220444	ComNameRef	6561	
132499	ComNameRef	163039	
166616	ComNameRef	163039	
133679	ComNameRef	163039	
714090	ComNameRef	3042	
132627	ComNameRef	1116	
134210	ComNameRef	147412	
165801	ComNameRef	147411	
132258	ComNameRef	685	
132380	ComNameRef	147411	
165160	ComNameRef	147411	
134121	ComNameRef	9880	
132472	ComNameRef	163039	
132321	ComNameRef	163039	
132321	ComNameRef	163039	
133693	ComNameRef	163039	
133296	ComNameRef	1116	
133259	ComNameRef	147412	
132588	ComNameRef	685	
133913	ComNameRef	163039	
134121	ComNameRef	163039	
165081	ComNameRef	163039	
266969	ComNameRef	163039	
133961	ComNameRef	147411	
132233	ComNameRef	1116	
134251	ComNameRef	1116	
133247	ComNameRef	7566	
165853	ComNameRef	147412	
134139	ComNameRef	9880	
194119	ComNameRef	6066	
134112	ComNameRef	163039	
134146	ComNameRef	163039	
132324	ComNameRef	163039	
236327	ComNameRef	140199	
132511	ComNameRef	147411	
167144	ComNameRef	147412	
244432	ComNameRef	147412	
134348	ComNameRef	147411	
170988	ComNameRef	6066	
133913	ComNameRef	163039	
133693	ComNameRef	163039	
165081	ComNameRef	163039	
133904	ComNameRef	6066	
133296	ComNameRef	1116	
133296	ComNameRef	1116	
167144	ComNameRef	147411	
134285	ComNameRef	685	
132407	ComNameRef	685	
166083	ComNameRef	6066	
133928	ComNameRef	147411	
132275	ComNameRef	163043	
132275	ComNameRef	163043	
133928	ComNameRef	163039	
132233	ComNameRef	1116	
134311	ComNameRef	151643	
134146	ComNameRef	9880	
169378	ComNameRef	6066	
134112	ComNameRef	163039	
134121	ComNameRef	163039	
134146	ComNameRef	163039	
132833	ComNameRef	147411	
134311	ComNameRef	147411	
236327	ComNameRef	147412	
132473	ComNameRef	10085	
165250	ComNameRef	147411	
133911	ComNameRef	163039	
133693	ComNameRef	163039	
165081	ComNameRef	163039	
134121	ComNameRef	1116	
132627	ComNameRef	1116	
132377	ComNameRef	147411	
134121	ComNameRef	147412	
132216	ComNameRef	147412	
134011	ComNameRef	147411	
132407	ComNameRef	151643	
132216	ComNameRef	685	
134025	ComNameRef	147411	
132762	ComNameRef	2901	
134285	ComNameRef	2901	
165220	ComNameRef	147411	
165251	ComNameRef	147411	
133913	ComNameRef	163039	
166616	ComNameRef	163039	
166837	ComNameRef	163039	
134311	ComNameRef	163039	
132233	ComNameRef	1116	
134121	ComNameRef	1116	
134024	ComNameRef	147411	
133941	ComNameRef	147411	
132627	ComNameRef	147411	
166902	ComNameRef	6066	
132454	ComNameRef	163043	
133911	ComNameRef	163039	
134112	ComNameRef	163043	
132251	ComNameRef	685	
132251	ComNameRef	1116	
132251	ComNameRef	1116	
132833	ComNameRef	1116	
134121	ComNameRef	1116	
134121	ComNameRef	2901	
220454	ComNameRef	6561	
166837	ComNameRef	163039	
266969	ComNameRef	163039	
266969	ComNameRef	163039	
132251	ComNameRef	1116	
132251	ComNameRef	1116	
132833	ComNameRef	1116	
132377	ComNameRef	151643	
133958	ComNameRef	147411	
134282	ComNameRef	151643	
132588	ComNameRef	2901	
132216	ComNameRef	2901	
236403	TaxAccRef	7208	
167483	TaxAccRef	7577	
378581	TaxAccRef	7448	
597593	TaxAccRef	8326	
168065	TaxAccRef	7848	
195785	TaxAccRef	7675	
175295	TaxAccRef	7614	
191839	TaxAccRef	7036	
133289	TaxAccRef	1421	
132978	TaxAccRef	1421	
169941	TaxAccRef	42373	
132183	TaxAccRef	1421	
574408	TaxAccRef	7776	
759522	TaxAccRef	7820	
408852	TaxAccRef	7613	
168435	TaxAccRef	7558	
192672	TaxAccRef	7768	
244416	TaxAccRef	7655	
134408	TaxAccRef	8389	
168231	TaxAccRef	132821	
168179	TaxAccRef	8488	
133910	TaxAccRef	7617	
169843	TaxAccRef	7332	
236340	TaxAccRef	8179	
168826	TaxAccRef	7613	
196366	TaxAccRef	8330	
194572	TaxAccRef	7791	
165526	TaxAccRef	7794	
246628	TaxAccRef	132582	
168741	TaxAccRef	9022	
193244	TaxAccRef	7391	
134148	TaxAccRef	1421	
167731	TaxAccRef	7645	
171551	TaxAccRef	8215	
234261	TaxAccRef	7777	
194293	TaxAccRef	132582	
193957	TaxAccRef	8027	
166708	TaxAccRef	7763	
168448	TaxAccRef	9877	
193810	TaxAccRef	8474	
396745	TaxAccRef	7571	
165633	TaxAccRef	9829	
171256	TaxAccRef	9996	
172023	TaxAccRef	7681	
240710	TaxAccRef	7429	
167893	TaxAccRef	142121	
170340	TaxAccRef	8180	
167667	TaxAccRef	7645	
166332	TaxAccRef	42375	
447217	TaxAccRef	138935	
133365	TaxAccRef	7897	
165973	TaxAccRef	8096	
165735	TaxAccRef	9051	
168177	TaxAccRef	7852	
166225	TaxAccRef	8597	
235776	TaxAccRef	10026	
191634	TaxAccRef	7823	
192278	TaxAccRef	7394	
234455	TaxAccRef	7480	
194397	TaxAccRef	7775	
132685	TaxAccRef	8175	
165566	TaxAccRef	9046	
189980	TaxAccRef	141259	
190428	TaxAccRef	152227	
747392	TaxAccRef	172903	
573382	TaxAccRef	7617	
165203	TaxAccRef	7675	
597591	TaxAccRef	8587	
192117	TaxAccRef	9017	
133624	TaxAccRef	7897	
244419	TaxAccRef	7794	
555786	TaxAccRef	148164	
195455	TaxAccRef	7655	
193506	TaxAccRef	7402	
192365	TaxAccRef	9811	
193682	TaxAccRef	7763	
169127	TaxAccRef	6840	
596197	TaxAccRef	156545	
169304	TaxAccRef	4179	
133196	TaxAccRef	9033	
169898	TaxAccRef	7259	
388822	TaxAccRef	127204	
134346	TaxAccRef	7527	
132921	TaxAccRef	8326	
389015	TaxAccRef	129411	
450783	TaxAccRef	149216	
168000	TaxAccRef	8180	
169086	TaxAccRef	8321	
168106	TaxAccRef	7655	
234307	TaxAccRef	7267	
170747	TaxAccRef	7486	
196726	TaxAccRef	8582	
169965	TaxAccRef	8295	
175269	TaxAccRef	7263	
192519	TaxAccRef	7612	
225693	TaxAccRef	7082	
234381	TaxAccRef	7192	
559376	TaxAccRef	149228	
166125	TaxAccRef	8095	
134259	TaxAccRef	1421	
191053	TaxAccRef	142147	
157383	TaxAccRef	7617	
166648	TaxAccRef	8562	
168733	TaxAccRef	7848	
195502	TaxAccRef	7384	
170796	TaxAccRef	8275	
193685	TaxAccRef	7655	
134289	TaxAccRef	1421	
170163	TaxAccRef	7415	
190112	TaxAccRef	7415	
132511	TaxAccRef	671	
168526	TaxAccRef	7883	
191068	TaxAccRef	8491	
132265	TaxAccRef	8179	
168528	TaxAccRef	7384	
510935	TaxAccRef	7276	
193670	TaxAccRef	9060	
195704	TaxAccRef	8203	
132312	TaxAccRef	7850	
133473	TaxAccRef	20430	
191819	TaxAccRef	7336	
573999	TaxAccRef	7275	
195370	TaxAccRef	8595	
194653	TaxAccRef	43027	
195401	TaxAccRef	7412	
166294	TaxAccRef	142128	
168987	TaxAccRef	7667	
189928	TaxAccRef	8180	
192670	TaxAccRef	8096	
412837	TaxAccRef	7645	
182719	TaxAccRef	10036	
134493	TaxAccRef	1421	
167459	TaxAccRef	9314	
192911	TaxAccRef	8430	
709065	TaxAccRef	7269	
191297	TaxAccRef	7886	
712063	TaxAccRef	165119	
191321	TaxAccRef	7345	
170266	TaxAccRef	8252	
231635	TaxAccRef	7749	
134335	TaxAccRef	7180	
171194	TaxAccRef	7871	
191764	TaxAccRef	8206	
133114	TaxAccRef	1421	
134157	TaxAccRef	7208	
166898	TaxAccRef	8610	
170369	TaxAccRef	127084	
196451	TaxAccRef	8354	
493745	TaxAccRef	8538	
174968	TaxAccRef	8350	
437431	TaxAccRef	7775	
133409	TaxAccRef	7480	
165872	TaxAccRef	7249	
134196	TaxAccRef	8481	
132885	TaxAccRef	1421	
192146	TaxAccRef	9029	
225432	TaxAccRef	8927	
168226	TaxAccRef	8400	
190728	TaxAccRef	7823	
134391	TaxAccRef	7205	
167993	TaxAccRef	8321	
192834	TaxAccRef	7820	
164363	TaxAccRef	7396	
234334	TaxAccRef	9230	
193583	TaxAccRef	7655	
167885	TaxAccRef	8387	
555693	TaxAccRef	8179	
164732	TaxAccRef	7417	
765193	TaxAccRef	7081	
165629	TaxAccRef	7413	
195356	TaxAccRef	7081	
537156	TaxAccRef	7667	
133694	TaxAccRef	8481	
167893	TaxAccRef	142118	
190288	TaxAccRef	7715	
167804	TaxAccRef	7652	
175293	TaxAccRef	7750	
169286	TaxAccRef	8373	
165113	TaxAccRef	7821	
132598	TaxAccRef	7384	
234437	TaxAccRef	8184	
189985	TaxAccRef	8373	
190037	TaxAccRef	7257	
597764	TaxAccRef	7607	
193285	TaxAccRef	7655	
193214	TaxAccRef	8300	
134123	TaxAccRef	1421	
157402	TaxAccRef	2930	
192645	TaxAccRef	7614	
196583	TaxAccRef	8354	
193544	TaxAccRef	8930	
133348	TaxAccRef	1421	
165228	TaxAccRef	7675	
193107	TaxAccRef	7384	
715635	TaxAccRef	7346	
195761	TaxAccRef	7060	
191848	TaxAccRef	7897	
345161	TaxAccRef	7823	
172094	TaxAccRef	8373	
171514	TaxAccRef	7835	
238722	TaxAccRef	7358	
166726	TaxAccRef	7114	
175299	TaxAccRef	4179	
133948	TaxAccRef	1421	
193582	TaxAccRef	7763	
170468	TaxAccRef	156703	
220442	TaxAccRef	9893	
234216	TaxAccRef	7829	
170158	TaxAccRef	8597	
815639	TaxAccRef	8571	
170641	TaxAccRef	7198	
168923	TaxAccRef	7278	
387359	TaxAccRef	8344	
134350	TaxAccRef	1421	
459116	TaxAccRef	8597	
234316	TaxAccRef	8096	
190209	TaxAccRef	9017	
168677	TaxAccRef	7794	
409652	TaxAccRef	10058	
133526	TaxAccRef	8481	
235031	TaxAccRef	8343	
191057	TaxAccRef	8414	
167362	TaxAccRef	8502	
132529	TaxAccRef	9047	
474836	TaxAccRef	127150	
133848	TaxAccRef	1421	
133423	TaxAccRef	1421	
164965	TaxAccRef	7820	
246106	TaxAccRef	7703	
193324	TaxAccRef	8179	
181132	TaxAccRef	7384	
240901	TaxAccRef	42306	
598961	TaxAccRef	7771	
737451	TaxAccRef	168840	
815400	TaxAccRef	8586	
165903	TaxAccRef	7614	
248165	TaxAccRef	43155	
133853	TaxAccRef	7617	
191097	TaxAccRef	8095	
194027	TaxAccRef	163953	
134319	TaxAccRef	7582	
387361	TaxAccRef	7723	
133380	TaxAccRef	9023	
132278	TaxAccRef	1421	
412839	TaxAccRef	7645	
169628	TaxAccRef	7613	
165503	TaxAccRef	147413	
192536	TaxAccRef	8041	
194444	TaxAccRef	42991	
414511	TaxAccRef	7413	
167606	TaxAccRef	7359	
166572	TaxAccRef	168513	
178480	TaxAccRef	7392	
133487	TaxAccRef	1421	
367997	TaxAccRef	7722	
133502	TaxAccRef	8354	
132780	TaxAccRef	1421	
191248	TaxAccRef	8597	
193594	TaxAccRef	43010	
193962	TaxAccRef	142142	
132482	TaxAccRef	7467	
165254	TaxAccRef	9071	
194427	TaxAccRef	6410	
178870	TaxAccRef	8953	
192646	TaxAccRef	7766	
167353	TaxAccRef	7400	
171286	TaxAccRef	9772	
167115	TaxAccRef	7150	
170188	TaxAccRef	133015	
133958	TaxAccRef	7180	
134276	TaxAccRef	7768	
492273	TaxAccRef	7789	
134516	TaxAccRef	1421	
169730	TaxAccRef	8464	
132372	TaxAccRef	141513	
510396	TaxAccRef	126168	
196850	TaxAccRef	8221	
167281	TaxAccRef	7507	
195412	TaxAccRef	7675	
175286	TaxAccRef	7036	
164202	TaxAccRef	7557	
190980	TaxAccRef	9073	
191834	TaxAccRef	7617	
133891	TaxAccRef	1421	
134091	TaxAccRef	1421	
167409	TaxAccRef	8096	
133511	TaxAccRef	7085	
191921	NomRef	9869	
134357	TaxAccRef	7780	
170832	TaxAccRef	7250	
193445	TaxAccRef	7820	
132606	TaxAccRef	7617	
134147	TaxAccRef	6217	
193681	TaxAccRef	141510	
171338	TaxAccRef	7506	
714036	TaxAccRef	7208	
247854	TaxAccRef	8041	
167030	TaxAccRef	142468	
134457	TaxAccRef	1421	
165884	TaxAccRef	8098	
133179	TaxAccRef	8183	
165632	TaxAccRef	7292	
191307	TaxAccRef	7614	
597551	TaxAccRef	150540	
171621	TaxAccRef	127056	
449153	TaxAccRef	7353	
132558	TaxAccRef	9050	
191240	TaxAccRef	8326	
165769	TaxAccRef	8238	
192222	TaxAccRef	132130	
168163	TaxAccRef	8295	
164770	TaxAccRef	7275	
577233	TaxAccRef	8430	
169649	NomRef	42893	
234358	TaxAccRef	7208	
171032	TaxAccRef	125294	
196498	TaxAccRef	7816	
171508	TaxAccRef	8595	
192276	TaxAccRef	7690	
255100	TaxAccRef	44012	
190175	TaxAccRef	9017	
165439	TaxAccRef	8587	
134025	TaxAccRef	8387	
190142	TaxAccRef	7859	
134068	TaxAccRef	6841	
193369	TaxAccRef	8040	
168722	TaxAccRef	9230	
765290	TaxAccRef	177495	
170633	TaxAccRef	7113	
168234	TaxAccRef	8096	
133288	TaxAccRef	7746	
167007	TaxAccRef	7277	
466890	TaxAccRef	7353	
194712	TaxAccRef	7353	
192563	TaxAccRef	9811	
194206	TaxAccRef	8180	
234346	TaxAccRef	8203	
170638	TaxAccRef	7184	
171330	TaxAccRef	9419	
133622	TaxAccRef	7229	
168604	TaxAccRef	7794	
132811	TaxAccRef	7843	
167686	TaxAccRef	8594	
557263	TaxAccRef	148309	
190785	TaxAccRef	9006	
170618	TaxAccRef	132582	
165500	TaxAccRef	7353	
133146	TaxAccRef	1421	
234357	TaxAccRef	8003	
171714	TaxAccRef	6833	
190264	TaxAccRef	9060	
