ID	ReferenceType	ReferenceID	
101156	ComNameRef	147411	
101156	ComNameRef	147411	
101160	ComNameRef	2901	
101160	ComNameRef	147411	
101160	ComNameRef	147411	
101160	ComNameRef	147411	
101155	TaxAccRef	1318	
101155	TaxAccRef	1387	
101156	TaxAccRef	1219	
101156	TaxAccRef	1318	
101156	TaxAccRef	1387	
101156	TaxAccRef	165516	
101157	TaxAccRef	1318	
101157	TaxAccRef	1387	
101158	TaxAccRef	1318	
101158	TaxAccRef	1387	
101159	TaxAccRef	1318	
101159	TaxAccRef	1387	
101159	TaxAccRef	132609	
101160	TaxAccRef	42	
101160	TaxAccRef	1219	
101160	TaxAccRef	1318	
101160	TaxAccRef	1387	
101160	TaxAccRef	2930	
101160	TaxAccRef	9269	
101160	TaxAccRef	165516	
101160	TaxAccRef	192633	
101161	TaxAccRef	1318	
101161	TaxAccRef	1387	
101161	TaxAccRef	127067	
154520	TaxAccRef	1219	
175019	TaxAccRef	1318	
175019	TaxAccRef	4179	
175022	TaxAccRef	1318	
175022	TaxAccRef	4179	
175022	TaxAccRef	132609	
265141	TaxAccRef	1318	
265142	TaxAccRef	1318	
265143	TaxAccRef	1318	
265143	TaxAccRef	132609	
265144	TaxAccRef	1318	
265145	TaxAccRef	1318	
265146	TaxAccRef	1318	
265147	TaxAccRef	1318	
265148	TaxAccRef	1318	
265148	TaxAccRef	138886	
265149	TaxAccRef	1318	
265149	TaxAccRef	127068	
265961	TaxAccRef	1318	
