ID	ReferenceType	ReferenceID	
143047	TaxAccRef	1847	
143051	TaxAccRef	2219	
143051	TaxAccRef	9269	
143056	TaxAccRef	57	
143061	TaxAccRef	1359	
143068	TaxAccRef	1359	
143074	TaxAccRef	57	
143086	TaxAccRef	1359	
143092	TaxAccRef	2209	
143098	TaxAccRef	2417	
143111	TaxAccRef	1359	
143129	TaxAccRef	1359	
143136	TaxAccRef	1359	
143140	TaxAccRef	9269	
143154	TaxAccRef	1359	
143154	TaxAccRef	2573	
143161	TaxAccRef	1812	
143163	TaxAccRef	57	
143169	TaxAccRef	2199	
143169	TaxAccRef	2791	
143169	TaxAccRef	2858	
143179	TaxAccRef	1359	
143179	TaxAccRef	1847	
143183	TaxAccRef	2030	
143183	TaxAccRef	2573	
143184	TaxAccRef	2574	
143193	TaxAccRef	1359	
143197	TaxAccRef	2210	
143204	TaxAccRef	1359	
143205	TaxAccRef	1743	
143208	TaxAccRef	2030	
143208	TaxAccRef	2460	
143218	TaxAccRef	1359	
143222	TaxAccRef	1847	
143223	TaxAccRef	2205	
143227	TaxAccRef	1851	
143235	TaxAccRef	2412	
143240	TaxAccRef	9298	
143243	TaxAccRef	1359	
143247	TaxAccRef	1359	
143251	TaxAccRef	9269	
143261	TaxAccRef	1359	
143268	TaxAccRef	1359	
143272	TaxAccRef	1359	
143276	TaxAccRef	9269	
143286	TaxAccRef	1359	
143299	TaxAccRef	57	
143489	TaxAccRef	2639	
143490	TaxAccRef	2387	
143490	TaxAccRef	9269	
143511	TaxAccRef	1359	
143524	TaxAccRef	57	
143529	TaxAccRef	1359	
143536	TaxAccRef	1359	
143540	TaxAccRef	2390	
143542	TaxAccRef	57	
143554	TaxAccRef	1359	
143566	TaxAccRef	2841	
143573	TaxAccRef	1903	
143579	TaxAccRef	1359	
143581	TaxAccRef	2641	
143597	TaxAccRef	1359	
143601	TaxAccRef	9269	
143604	TaxAccRef	1359	
143620	TaxAccRef	1767	
143622	TaxAccRef	1359	
152489	TaxAccRef	2817	
152542	TaxAccRef	3072	
152576	TaxAccRef	2539	
152586	TaxAccRef	2225	
152590	TaxAccRef	2539	
152601	TaxAccRef	2809	
152603	TaxAccRef	1780	
152634	TaxAccRef	2174	
152696	TaxAccRef	2384	
152722	TaxAccRef	2225	
152736	TaxAccRef	1766	
152865	TaxAccRef	2077	
152923	TaxAccRef	2827	
152953	TaxAccRef	1902	
152961	TaxAccRef	2225	
153004	TaxAccRef	2077	
153166	TaxAccRef	2830	
153195	TaxAccRef	2418	
153195	TaxAccRef	2833	
154356	TaxAccRef	2418	
154492	TaxAccRef	2363	
154547	TaxAccRef	1914	
154734	TaxAccRef	2304	
154839	TaxAccRef	2819	
154869	TaxAccRef	2855	
154930	TaxAccRef	2234	
154963	TaxAccRef	1712	
154967	TaxAccRef	2203	
154968	TaxAccRef	2204	
154986	TaxAccRef	2204	
154988	TaxAccRef	2859	
155000	TaxAccRef	2584	
155062	TaxAccRef	2588	
155141	TaxAccRef	2809	
155145	TaxAccRef	2034	
155148	TaxAccRef	2809	
155217	TaxAccRef	2418	
155323	TaxAccRef	2809	
155590	TaxAccRef	2210	
155594	TaxAccRef	2036	
155611	TaxAccRef	2204	
155618	TaxAccRef	2407	
155618	TaxAccRef	2834	
155619	TaxAccRef	2103	
155672	TaxAccRef	2111	
155697	TaxAccRef	2866	
155753	TaxAccRef	2235	
155778	TaxAccRef	2235	
155793	TaxAccRef	2825	
155814	TaxAccRef	1855	
155816	TaxAccRef	2809	
155837	TaxAccRef	164890	
155932	TaxAccRef	2883	
156023	TaxAccRef	2887	
156037	TaxAccRef	2887	
156042	TaxAccRef	2888	
156043	TaxAccRef	2889	
156048	TaxAccRef	2887	
156150	TaxAccRef	6800	
156155	TaxAccRef	2887	
156173	TaxAccRef	2887	
156180	TaxAccRef	2887	
178903	TaxAccRef	6800	
183495	TaxAccRef	9269	
231866	TaxAccRef	9269	
233956	TaxAccRef	9298	
390018	TaxAccRef	127204	
480589	TaxAccRef	2210	
480857	TaxAccRef	2573	
484550	TaxAccRef	165165	
143047	TaxAccRef	1359	
143051	TaxAccRef	2210	
143053	TaxAccRef	57	
143064	TaxAccRef	1359	
143065	TaxAccRef	1359	
143069	TaxAccRef	2158	
143069	TaxAccRef	2573	
143070	TaxAccRef	57	
143072	TaxAccRef	2219	
143082	TaxAccRef	1359	
143087	TaxAccRef	9298	
143104	TaxAccRef	9298	
143115	TaxAccRef	1359	
143119	TaxAccRef	9269	
143132	TaxAccRef	1359	
143133	TaxAccRef	1359	
143136	TaxAccRef	2573	
143136	TaxAccRef	9269	
143137	TaxAccRef	2573	
143137	TaxAccRef	9269	
143144	TaxAccRef	2234	
143150	TaxAccRef	1359	
143164	TaxAccRef	2233	
143167	TaxAccRef	57	
143169	TaxAccRef	2419	
143171	TaxAccRef	2592	
143183	TaxAccRef	1359	
143183	TaxAccRef	1847	
143183	TaxAccRef	2210	
143184	TaxAccRef	57	
143190	TaxAccRef	2858	
143197	TaxAccRef	1359	
143197	TaxAccRef	2073	
143200	TaxAccRef	1359	
143201	TaxAccRef	1359	
143201	TaxAccRef	2210	
143208	TaxAccRef	1743	
143208	TaxAccRef	2408	
143214	TaxAccRef	1359	
143218	TaxAccRef	1847	
143227	TaxAccRef	2205	
143231	TaxAccRef	1851	
143242	TaxAccRef	1849	
143251	TaxAccRef	1359	
143252	TaxAccRef	57	
143253	TaxAccRef	57	
143254	TaxAccRef	9298	
143255	TaxAccRef	9269	
143264	TaxAccRef	1359	
143265	TaxAccRef	1359	
143274	TaxAccRef	163773	
143282	TaxAccRef	1359	
143286	TaxAccRef	9269	
143492	TaxAccRef	2639	
143493	TaxAccRef	2639	
143513	TaxAccRef	2809	
143515	TaxAccRef	1359	
143515	TaxAccRef	2384	
143521	TaxAccRef	57	
143523	TaxAccRef	9269	
143532	TaxAccRef	1359	
143533	TaxAccRef	1359	
143546	TaxAccRef	1765	
143549	TaxAccRef	2426	
143550	TaxAccRef	1359	
143560	TaxAccRef	2639	
143561	TaxAccRef	1730	
143571	TaxAccRef	57	
143583	TaxAccRef	1359	
143585	TaxAccRef	1738	
143600	TaxAccRef	1359	
143601	TaxAccRef	1359	
143602	TaxAccRef	1738	
143618	TaxAccRef	1359	
143626	TaxAccRef	1743	
143635	TaxAccRef	1738	
152529	TaxAccRef	9298	
152536	TaxAccRef	2809	
152621	TaxAccRef	2250	
152622	TaxAccRef	2809	
152672	TaxAccRef	2809	
152720	TaxAccRef	2639	
152756	TaxAccRef	2012	
152758	TaxAccRef	2394	
152884	TaxAccRef	6097	
153036	TaxAccRef	2829	
153562	TaxAccRef	2830	
153569	TaxAccRef	2225	
154261	TaxAccRef	2831	
154525	TaxAccRef	1913	
154567	TaxAccRef	1895	
154713	TaxAccRef	2365	
154719	TaxAccRef	1769	
154720	TaxAccRef	1782	
154733	TaxAccRef	2727	
154842	TaxAccRef	2851	
154852	TaxAccRef	1782	
154867	TaxAccRef	1738	
154873	TaxAccRef	1769	
154984	TaxAccRef	2859	
154996	TaxAccRef	2584	
155144	TaxAccRef	2809	
