ID	ReferenceType	ReferenceID	
134757	TaxAccRef	1332	
134757	TaxAccRef	152241	
377281	TaxAccRef	125743	
377281	TaxAccRef	152241	
377282	TaxAccRef	125744	
377282	TaxAccRef	152241	
377283	TaxAccRef	125742	
377283	TaxAccRef	152241	
377284	TaxAccRef	125746	
377284	TaxAccRef	152241	
377285	TaxAccRef	125747	
377285	TaxAccRef	152241	
377286	TaxAccRef	125748	
377286	TaxAccRef	152241	
377287	TaxAccRef	125748	
377287	TaxAccRef	152241	
377288	TaxAccRef	125748	
377288	TaxAccRef	152241	
377289	TaxAccRef	125749	
377289	TaxAccRef	152241	
377290	TaxAccRef	152241	
377290	TaxAccRef	171515	
377292	TaxAccRef	125750	
377292	TaxAccRef	152241	
377294	TaxAccRef	125743	
377294	TaxAccRef	152241	
377295	TaxAccRef	125751	
377295	TaxAccRef	152241	
377297	TaxAccRef	125753	
377297	TaxAccRef	152241	
377298	TaxAccRef	125752	
377298	TaxAccRef	152241	
377301	TaxAccRef	125754	
377301	TaxAccRef	152241	
377304	TaxAccRef	125755	
377304	TaxAccRef	152241	
377306	TaxAccRef	125755	
377306	TaxAccRef	152241	
377307	TaxAccRef	122393	
377307	TaxAccRef	152241	
377311	TaxAccRef	125756	
377311	TaxAccRef	152241	
464013	TaxAccRef	141327	
464013	TaxAccRef	152241	
464014	TaxAccRef	141328	
464014	TaxAccRef	152241	
488007	TaxAccRef	152241	
488007	TaxAccRef	170714	
