AcceptedTaxonID	Kingdom	Phylum	Class	Order	Superfamily	Family	Genus	SubGenusName	Species	AuthorString	GSDNameStatus	Sp2000NameStatus	IsFossil	LifeZone	AdditionalData	LTSSpecialist	LTSDate	SpeciesURL	GSDTaxonGUI	GSDNameGUI	
464013	Animalia	Arthropoda	Remipedia	Nectiopoda		Cryptocorynetidae	Cryptocorynetes		elmorei	Hazerli, Koenemann, Iliffe, 2009	accepted	Accepted name	0	marine		Koenemann, Stefan	2010-07-01 10:41:53	http://www.marinespecies.org/remipedia/aphia.php?p=taxdetails&id=464013		urn:lsid:marinespecies.org:taxname:464013	
377294	Animalia	Arthropoda	Remipedia	Nectiopoda		Cryptocorynetidae	Cryptocorynetes		haptodiscus	Yager, 1987	accepted	Accepted name	0	marine		Koenemann, Stefan	2008-12-09 14:00:40	http://www.marinespecies.org/remipedia/aphia.php?p=taxdetails&id=377294		urn:lsid:marinespecies.org:taxname:377294	
377295	Animalia	Arthropoda	Remipedia	Nectiopoda		Cryptocorynetidae	Cryptocorynetes		longulus	Wollermann, Koenemann, Iliffe, 2007	accepted	Accepted name	0	marine		Koenemann, Stefan	2010-07-01 10:41:53	http://www.marinespecies.org/remipedia/aphia.php?p=taxdetails&id=377295		urn:lsid:marinespecies.org:taxname:377295	
377301	Animalia	Arthropoda	Remipedia	Nectiopoda		Godzilliidae	Godzillius		robustus	Schram, Yager, Emerson, 1986	accepted	Accepted name	0	marine		Koenemann, Stefan	2010-07-01 10:41:53	http://www.marinespecies.org/remipedia/aphia.php?p=taxdetails&id=377301		urn:lsid:marinespecies.org:taxname:377301	
377292	Animalia	Arthropoda	Remipedia	Nectiopoda		Cryptocorynetidae	Kaloketos		pilosus	Koenemann, Iliffe, Yager, 2004	accepted	Accepted name	0	marine		Koenemann, Stefan	2010-07-01 10:41:53	http://www.marinespecies.org/remipedia/aphia.php?p=taxdetails&id=377292		urn:lsid:marinespecies.org:taxname:377292	
740648	Animalia	Arthropoda	Remipedia	Nectiopoda		Kumongidae	Kumonga		exleyi	(Yager & Humphreys, 1996)	accepted	Accepted name	0	marine		Boxshall, Geoff	2013-09-12 16:03:07	http://www.marinespecies.org/remipedia/aphia.php?p=taxdetails&id=740648		urn:lsid:marinespecies.org:taxname:740648	
377298	Animalia	Arthropoda	Remipedia	Nectiopoda		Speleonectidae	Lasionectes		entrichoma	Yager & Schram, 1986	accepted	Accepted name	0	marine		Koenemann, Stefan	2008-12-09 14:00:40	http://www.marinespecies.org/remipedia/aphia.php?p=taxdetails&id=377298		urn:lsid:marinespecies.org:taxname:377298	
377311	Animalia	Arthropoda	Remipedia	Nectiopoda		Micropacteridae	Micropacter		yagerae	Koenemann, Iliffe, van der Ham, 2007	accepted	Accepted name	0	marine		Koenemann, Stefan	2010-07-01 10:41:53	http://www.marinespecies.org/remipedia/aphia.php?p=taxdetails&id=377311		urn:lsid:marinespecies.org:taxname:377311	
740651	Animalia	Arthropoda	Remipedia	Nectiopoda		Morlockiidae	Morlockia		atlantida	(Koenemann, Bloechl, Martinez, Iliffe, Hoenemann & Oromí, 2009)	accepted	Accepted name	0	marine		Boxshall, Geoff	2013-09-12 16:03:07	http://www.marinespecies.org/remipedia/aphia.php?p=taxdetails&id=740651		urn:lsid:marinespecies.org:taxname:740651	
740650	Animalia	Arthropoda	Remipedia	Nectiopoda		Morlockiidae	Morlockia		ondinae	García-Valdecasas, 1984	accepted	Accepted name	0	marine		Boxshall, Geoff	2013-09-12 16:03:07	http://www.marinespecies.org/remipedia/aphia.php?p=taxdetails&id=740650		urn:lsid:marinespecies.org:taxname:740650	
377304	Animalia	Arthropoda	Remipedia	Nectiopoda		Pleomothridae	Pleomothra		apletocheles	Yager, 1989	accepted	Accepted name	0	marine		Koenemann, Stefan	2008-12-09 14:00:40	http://www.marinespecies.org/remipedia/aphia.php?p=taxdetails&id=377304		urn:lsid:marinespecies.org:taxname:377304	
377307	Animalia	Arthropoda	Remipedia	Nectiopoda		Pleomothridae	Pleomothra		fragilis	Koenemann, Ziegler, Iliffe, 2008	accepted	Accepted name	0	marine		Koenemann, Stefan	2010-07-01 10:41:53	http://www.marinespecies.org/remipedia/aphia.php?p=taxdetails&id=377307		urn:lsid:marinespecies.org:taxname:377307	
377290	Animalia	Arthropoda	Remipedia	Nectiopoda		Speleonectidae	Speleonectes		kakuki	Daenekas, Iliffe, Yager & Koenemann, 2009	accepted	Accepted name	0	marine		Koenemann, Stefan	2009-02-19 13:06:24	http://www.marinespecies.org/remipedia/aphia.php?p=taxdetails&id=377290		urn:lsid:marinespecies.org:taxname:377290	
377283	Animalia	Arthropoda	Remipedia	Nectiopoda		Speleonectidae	Speleonectes		lucayensis	Yager, 1981	accepted	Accepted name	0	marine		Koenemann, Stefan	2008-12-09 14:00:40	http://www.marinespecies.org/remipedia/aphia.php?p=taxdetails&id=377283		urn:lsid:marinespecies.org:taxname:377283	
377286	Animalia	Arthropoda	Remipedia	Nectiopoda		Speleonectidae	Speleonectes		minnsi	Koenemann, Iliffe, van der Ham, 2003	accepted	Accepted name	0	marine		Koenemann, Stefan	2008-12-09 14:00:40	http://www.marinespecies.org/remipedia/aphia.php?p=taxdetails&id=377286		urn:lsid:marinespecies.org:taxname:377286	
377288	Animalia	Arthropoda	Remipedia	Nectiopoda		Speleonectidae	Speleonectes		tanumekes	Koenemann, Iliffe, van der Ham, 2003	accepted	Accepted name	0	marine		Koenemann, Stefan	2008-12-09 14:00:40	http://www.marinespecies.org/remipedia/aphia.php?p=taxdetails&id=377288		urn:lsid:marinespecies.org:taxname:377288	
740677	Animalia	Arthropoda	Remipedia	Nectiopoda			Xibalbanus		tulumensis	(Yager, 1987)	accepted	Accepted name	0	marine		Boxshall, Geoff	2013-09-13 09:54:11	http://www.marinespecies.org/remipedia/aphia.php?p=taxdetails&id=740677		urn:lsid:marinespecies.org:taxname:740677	
377285	Animalia	Arthropoda	Remipedia	Nectiopoda		Speleonectidae	Speleonectes		gironensis	Yager, 1994	accepted	Accepted name	0	marine		Koenemann, Stefan	2008-12-09 14:00:40	http://www.marinespecies.org/remipedia/aphia.php?p=taxdetails&id=377285		urn:lsid:marinespecies.org:taxname:377285	
377284	Animalia	Arthropoda	Remipedia	Nectiopoda		Speleonectidae	Speleonectes		epilimnius	Yager & Carpenter, 1999	accepted	Accepted name	0	marine		Koenemann, Stefan	2008-12-09 14:00:40	http://www.marinespecies.org/remipedia/aphia.php?p=taxdetails&id=377284		urn:lsid:marinespecies.org:taxname:377284	
377289	Animalia	Arthropoda	Remipedia	Nectiopoda		Speleonectidae	Speleonectes		emersoni	Lorentzen, Koenemann, Iliffe, 2007	accepted	Accepted name	0	marine		Koenemann, Stefan	2010-07-01 10:41:53	http://www.marinespecies.org/remipedia/aphia.php?p=taxdetails&id=377289		urn:lsid:marinespecies.org:taxname:377289	
488007	Animalia	Arthropoda	Remipedia	Nectiopoda		Godzilliidae	Godzilliognomus		schrami	Iliffe, Otten & Koenemann, 2010	accepted	Accepted name	0	marine		Koenemann, Stefan	2010-07-01 10:41:53	http://www.marinespecies.org/remipedia/aphia.php?p=taxdetails&id=488007		urn:lsid:marinespecies.org:taxname:488007	
377306	Animalia	Arthropoda	Remipedia	Nectiopoda		Godzilliidae	Godzilliognomus		frondosus	Yager, 1989	accepted	Accepted name	0	marine		Koenemann, Stefan	2010-03-05 11:51:15	http://www.marinespecies.org/remipedia/aphia.php?p=taxdetails&id=377306		urn:lsid:marinespecies.org:taxname:377306	
740675	Animalia	Arthropoda	Remipedia	Nectiopoda		Cryptocorynetidae	Angirasu		parabenjamini	(Koenemann, Iliffe & van der Ham, 2003)	accepted	Accepted name	0			Boxshall, Geoff	2013-09-13 09:54:11	http://www.marinespecies.org/remipedia/aphia.php?p=taxdetails&id=740675		urn:lsid:marinespecies.org:taxname:740675	
740674	Animalia	Arthropoda	Remipedia	Nectiopoda		Cryptocorynetidae	Angirasu		benjamini	(Yager, 1987)	accepted	Accepted name	0	marine		Boxshall, Geoff	2013-09-13 09:54:11	http://www.marinespecies.org/remipedia/aphia.php?p=taxdetails&id=740674		urn:lsid:marinespecies.org:taxname:740674	
