ID	ReferenceType	ReferenceID	
265682	ComNameRef	170282	
265668	ComNameRef	170282	
265695	ComNameRef	170282	
265691	ComNameRef	170282	
119148	TaxAccRef	663	
119148	TaxAccRef	1318	
119148	TaxAccRef	1413	
119149	TaxAccRef	663	
119149	TaxAccRef	1318	
119149	TaxAccRef	1413	
119150	TaxAccRef	1318	
119150	TaxAccRef	1413	
119151	TaxAccRef	1318	
119151	TaxAccRef	1413	
119152	TaxAccRef	1318	
119152	TaxAccRef	1413	
119153	TaxAccRef	1318	
119153	TaxAccRef	1413	
119154	TaxAccRef	1318	
119154	TaxAccRef	1413	
119155	TaxAccRef	663	
119155	TaxAccRef	1318	
119155	TaxAccRef	1413	
119156	TaxAccRef	1318	
119156	TaxAccRef	1413	
119157	TaxAccRef	663	
119157	TaxAccRef	1318	
119157	TaxAccRef	1413	
119158	TaxAccRef	663	
119158	TaxAccRef	1318	
119158	TaxAccRef	1413	
119159	TaxAccRef	663	
119159	TaxAccRef	1318	
119159	TaxAccRef	1413	
119160	TaxAccRef	1318	
119160	TaxAccRef	1413	
119161	TaxAccRef	1318	
119161	TaxAccRef	1413	
119162	TaxAccRef	1318	
119162	TaxAccRef	1413	
119163	TaxAccRef	1318	
119163	TaxAccRef	1413	
119163	TaxAccRef	9269	
148611	NomRef	663	
148611	NomRef	1318	
225815	TaxAccRef	1318	
225815	TaxAccRef	170288	
238035	TaxAccRef	1318	
238035	TaxAccRef	9933	
265663	NomRef	1318	
265664	NomRef	1318	
265665	NomRef	1318	
265666	TaxAccRef	1318	
265667	TaxAccRef	1318	
265668	TaxAccRef	1318	
265668	TaxAccRef	170282	
265669	TaxAccRef	1318	
265669	TaxAccRef	141247	
265670	TaxAccRef	1318	
265670	TaxAccRef	170298	
265671	TaxAccRef	1318	
265671	TaxAccRef	141247	
265672	TaxAccRef	1318	
265673	TaxAccRef	1318	
265674	TaxAccRef	1318	
265674	TaxAccRef	170298	
265675	NomRef	1318	
265676	TaxAccRef	1318	
265676	TaxAccRef	170287	
265677	TaxAccRef	1318	
265678	TaxAccRef	1318	
265679	TaxAccRef	1318	
265679	TaxAccRef	141247	
265680	TaxAccRef	1318	
265680	TaxAccRef	141247	
265681	TaxAccRef	1318	
265682	TaxAccRef	1318	
265682	TaxAccRef	170282	
265683	TaxAccRef	1318	
265683	TaxAccRef	170069	
265683	TaxAccRef	170298	
265684	TaxAccRef	1318	
265684	TaxAccRef	170069	
265685	TaxAccRef	1318	
265685	TaxAccRef	170069	
265685	TaxAccRef	170298	
265686	TaxAccRef	1318	
265686	TaxAccRef	170069	
265687	TaxAccRef	1318	
265687	TaxAccRef	170298	
265688	TaxAccRef	1318	
265688	TaxAccRef	141247	
265689	TaxAccRef	1318	
265689	TaxAccRef	128465	
265690	TaxAccRef	1318	
265690	TaxAccRef	128465	
265691	TaxAccRef	1318	
265691	TaxAccRef	170282	
265692	TaxAccRef	1318	
265692	TaxAccRef	170284	
265693	TaxAccRef	1318	
265693	TaxAccRef	170287	
265694	TaxAccRef	1318	
265694	TaxAccRef	170069	
265695	TaxAccRef	1318	
265695	TaxAccRef	170282	
265696	TaxAccRef	1318	
265697	TaxAccRef	1318	
265697	TaxAccRef	170284	
265698	TaxAccRef	1318	
265699	TaxAccRef	1318	
265699	TaxAccRef	170069	
265700	TaxAccRef	1318	
265700	TaxAccRef	141247	
265700	TaxAccRef	170301	
265701	TaxAccRef	1318	
265701	TaxAccRef	128465	
265702	TaxAccRef	1318	
265702	TaxAccRef	170069	
265703	TaxAccRef	1318	
265704	TaxAccRef	1318	
265704	TaxAccRef	141247	
265705	TaxAccRef	1318	
265706	TaxAccRef	1318	
265707	TaxAccRef	1318	
265708	TaxAccRef	1318	
265708	TaxAccRef	170294	
265709	TaxAccRef	1318	
265710	TaxAccRef	1318	
265710	TaxAccRef	170288	
265712	TaxAccRef	1318	
265713	TaxAccRef	1318	
265713	TaxAccRef	170300	
265714	TaxAccRef	1318	
265715	TaxAccRef	1318	
265715	TaxAccRef	170295	
265716	TaxAccRef	1318	
265717	TaxAccRef	1318	
265718	TaxAccRef	1318	
265718	TaxAccRef	170288	
265720	TaxAccRef	1318	
265720	TaxAccRef	170288	
265721	TaxAccRef	1318	
265722	TaxAccRef	1318	
265723	TaxAccRef	1318	
265723	TaxAccRef	170069	
265724	TaxAccRef	1318	
265725	TaxAccRef	1318	
265725	TaxAccRef	170069	
265726	TaxAccRef	1318	
265726	TaxAccRef	170069	
265727	TaxAccRef	1318	
265727	TaxAccRef	170294	
265728	TaxAccRef	1318	
265728	TaxAccRef	170069	
265729	TaxAccRef	1318	
265729	TaxAccRef	170300	
265730	TaxAccRef	1318	
265730	TaxAccRef	170297	
265731	TaxAccRef	1318	
265731	TaxAccRef	170069	
265732	TaxAccRef	1318	
265732	TaxAccRef	170069	
265919	TaxAccRef	1318	
265919	TaxAccRef	170069	
414137	TaxAccRef	132577	
414138	TaxAccRef	132577	
414139	TaxAccRef	132577	
414141	TaxAccRef	132577	
414142	TaxAccRef	132577	
464279	TaxAccRef	170302	
464280	TaxAccRef	170296	
464281	TaxAccRef	172578	
464282	TaxAccRef	170288	
464284	TaxAccRef	170288	
464287	TaxAccRef	172578	
464288	TaxAccRef	170299	
464290	TaxAccRef	154802	
464291	TaxAccRef	170302	
493800	TaxAccRef	170294	
493801	TaxAccRef	170294	
736882	TaxAccRef	168650	
736883	TaxAccRef	168650	
740911	TaxAccRef	170065	
740912	TaxAccRef	170065	
740913	TaxAccRef	170065	
740914	TaxAccRef	170066	
742583	TaxAccRef	170307	
743996	TaxAccRef	171252	
743997	TaxAccRef	171252	
743998	TaxAccRef	171252	
743999	TaxAccRef	171252	
