ID	ReferenceType	ReferenceID	
150537	ComNameRef	686	
344430	ComNameRef	1318	
344321	ComNameRef	1318	
344476	ComNameRef	1318	
139534	ComNameRef	2	
344168	ComNameRef	1318	
344325	ComNameRef	1318	
344471	ComNameRef	1318	
139534	ComNameRef	685	
344510	ComNameRef	1318	
344398	ComNameRef	1318	
344573	ComNameRef	1318	
344463	ComNameRef	1318	
139528	ComNameRef	2	
344449	ComNameRef	1318	
344159	ComNameRef	1318	
344271	ComNameRef	1318	
344585	ComNameRef	1318	
139528	ComNameRef	139290	
344596	ComNameRef	1318	
344588	ComNameRef	1318	
157039	ComNameRef	2901	
344375	ComNameRef	1318	
344477	ComNameRef	1318	
344587	ComNameRef	1318	
157046	ComNameRef	2901	
139535	ComNameRef	2901	
344129	ComNameRef	1318	
344291	ComNameRef	1318	
344422	ComNameRef	1318	
157044	ComNameRef	2901	
153956	ComNameRef	145894	
344469	ComNameRef	2901	
344446	ComNameRef	1318	
344253	ComNameRef	1318	
140015	ComNameRef	1318	
150534	ComNameRef	147411	
344432	ComNameRef	1318	
344353	ComNameRef	1318	
344479	ComNameRef	1318	
150537	ComNameRef	686	
150537	ComNameRef	686	
224567	ComNameRef	6561	
344490	ComNameRef	1318	
344426	ComNameRef	1318	
344264	ComNameRef	1318	
139534	ComNameRef	139290	
344431	ComNameRef	1318	
344594	ComNameRef	1318	
157045	ComNameRef	2901	
196377	ComNameRef	2901	
344325	ComNameRef	2901	
344305	ComNameRef	1318	
344482	ComNameRef	1318	
344420	ComNameRef	1318	
344465	ComNameRef	1318	
344469	ComNameRef	1318	
139528	ComNameRef	9269	
344207	ComNameRef	1318	
344508	ComNameRef	1318	
344229	ComNameRef	1318	
139527	ComNameRef	685	
344444	ComNameRef	1318	
344507	ComNameRef	1318	
344408	ComNameRef	1318	
150537	ComNameRef	686	
344428	ComNameRef	1318	
344515	ComNameRef	1318	
344520	ComNameRef	1318	
139535	TaxAccRef	1364	
139691	TaxAccRef	617	
139999	TaxAccRef	42166	
140001	TaxAccRef	1364	
140010	TaxAccRef	165516	
140011	TaxAccRef	41444	
140894	TaxAccRef	1364	
153956	TaxAccRef	42	
157047	TaxAccRef	42166	
196378	TaxAccRef	39403	
211851	TaxAccRef	125985	
211854	TaxAccRef	6506	
211855	TaxAccRef	6041	
225624	TaxAccRef	125961	
248253	TaxAccRef	2896	
344159	TaxAccRef	125385	
344162	TaxAccRef	125936	
344165	TaxAccRef	126007	
344167	TaxAccRef	1318	
344177	TaxAccRef	126005	
344186	TaxAccRef	126002	
344195	TaxAccRef	125937	
344215	TaxAccRef	126142	
344224	TaxAccRef	125985	
344225	TaxAccRef	42166	
344274	TaxAccRef	126062	
344284	TaxAccRef	124437	
344295	TaxAccRef	42166	
344299	TaxAccRef	40642	
344300	TaxAccRef	125385	
344302	TaxAccRef	137468	
344320	TaxAccRef	124437	
344331	TaxAccRef	126062	
344343	TaxAccRef	124437	
344345	TaxAccRef	125976	
344353	TaxAccRef	141232	
344377	TaxAccRef	124437	
344385	TaxAccRef	42168	
344386	TaxAccRef	124437	
344395	TaxAccRef	42166	
344402	TaxAccRef	125925	
344404	TaxAccRef	42166	
344422	TaxAccRef	145452	
344439	TaxAccRef	125961	
344440	TaxAccRef	127058	
344444	TaxAccRef	141232	
344454	TaxAccRef	126037	
344472	TaxAccRef	126111	
344476	TaxAccRef	39835	
344486	TaxAccRef	124437	
344495	TaxAccRef	125925	
344500	TaxAccRef	125925	
344504	TaxAccRef	42166	
344519	TaxAccRef	126119	
344536	TaxAccRef	125925	
344538	TaxAccRef	42166	
344561	TaxAccRef	126079	
344568	TaxAccRef	42166	
344575	TaxAccRef	126028	
344577	TaxAccRef	124437	
344592	TaxAccRef	145452	
344645	TaxAccRef	125973	
344658	TaxAccRef	126133	
381002	TaxAccRef	126018	
414600	TaxAccRef	126062	
416197	TaxAccRef	132827	
416747	TaxAccRef	51988	
416750	TaxAccRef	39403	
423908	TaxAccRef	42165	
458314	TaxAccRef	125925	
527216	TaxAccRef	145434	
527218	TaxAccRef	145434	
527806	TaxAccRef	42166	
575142	TaxAccRef	39835	
575144	TaxAccRef	39835	
588455	TaxAccRef	154068	
588457	TaxAccRef	154068	
139535	TaxAccRef	141232	
140000	TaxAccRef	1364	
140000	TaxAccRef	39808	
140007	TaxAccRef	42166	
140008	TaxAccRef	131500	
140015	TaxAccRef	125985	
140892	TaxAccRef	1	
140893	TaxAccRef	42166	
157046	TaxAccRef	40605	
157048	TaxAccRef	42166	
196381	TaxAccRef	42166	
246006	TaxAccRef	9160	
337975	TaxAccRef	42168	
341160	TaxAccRef	50201	
341160	TaxAccRef	59341	
344127	TaxAccRef	125984	
344128	TaxAccRef	124556	
344130	TaxAccRef	125937	
344160	TaxAccRef	42166	
344168	TaxAccRef	39835	
344171	TaxAccRef	126011	
344175	TaxAccRef	125936	
344205	TaxAccRef	126027	
344210	TaxAccRef	42166	
344210	TaxAccRef	131909	
344213	TaxAccRef	125990	
344229	TaxAccRef	125974	
344235	TaxAccRef	124437	
344237	TaxAccRef	125937	
344259	TaxAccRef	39485	
344266	TaxAccRef	126062	
344285	TaxAccRef	124437	
344287	TaxAccRef	126111	
344303	TaxAccRef	125976	
344315	TaxAccRef	126038	
344323	TaxAccRef	125937	
344337	TaxAccRef	125937	
344342	TaxAccRef	126057	
344344	TaxAccRef	125925	
344353	TaxAccRef	42166	
344353	TaxAccRef	125976	
344364	TaxAccRef	40642	
344367	TaxAccRef	42166	
344373	TaxAccRef	126062	
344380	TaxAccRef	125937	
344396	TaxAccRef	42166	
344403	TaxAccRef	42166	
344408	TaxAccRef	126044	
344409	TaxAccRef	126004	
344415	TaxAccRef	42167	
344435	TaxAccRef	124437	
344442	TaxAccRef	124556	
344444	TaxAccRef	125983	
344446	TaxAccRef	42166	
344453	TaxAccRef	42166	
344460	TaxAccRef	125976	
344477	TaxAccRef	42168	
344480	TaxAccRef	125937	
344494	TaxAccRef	125925	
344503	TaxAccRef	42166	
344509	TaxAccRef	126007	
344510	TaxAccRef	42166	
344515	TaxAccRef	125977	
344523	TaxAccRef	125937	
344527	TaxAccRef	125984	
344534	TaxAccRef	41500	
344535	TaxAccRef	124437	
344542	TaxAccRef	126002	
344544	TaxAccRef	125925	
344546	TaxAccRef	42166	
344552	TaxAccRef	126068	
344553	TaxAccRef	42166	
344571	TaxAccRef	124437	
344578	TaxAccRef	124437	
344587	TaxAccRef	125385	
344646	TaxAccRef	42166	
377968	TaxAccRef	125925	
381001	TaxAccRef	126018	
416748	TaxAccRef	42168	
416750	TaxAccRef	58278	
428808	TaxAccRef	126073	
527210	TaxAccRef	145434	
575056	TaxAccRef	162913	
575057	TaxAccRef	39835	
575143	TaxAccRef	39835	
588456	TaxAccRef	154068	
139534	TaxAccRef	9269	
139537	TaxAccRef	1364	
139690	TaxAccRef	41444	
139690	TaxAccRef	145452	
140007	TaxAccRef	1364	
140892	TaxAccRef	1364	
140893	TaxAccRef	1	
157042	TaxAccRef	125976	
211852	TaxAccRef	5978	
211852	TaxAccRef	59341	
326902	TaxAccRef	47591	
344138	TaxAccRef	42166	
344140	TaxAccRef	126018	
344141	TaxAccRef	124437	
344144	TaxAccRef	162913	
344159	TaxAccRef	141232	
344170	TaxAccRef	126009	
344171	TaxAccRef	124437	
344174	TaxAccRef	42166	
344182	TaxAccRef	126016	
344190	TaxAccRef	125973	
344205	TaxAccRef	124437	
344219	TaxAccRef	126009	
344223	TaxAccRef	42166	
344244	TaxAccRef	125937	
344256	TaxAccRef	126002	
344264	TaxAccRef	42168	
344273	TaxAccRef	125976	
344279	TaxAccRef	126075	
344288	TaxAccRef	125973	
344299	TaxAccRef	42167	
344307	TaxAccRef	126063	
344308	TaxAccRef	125937	
344321	TaxAccRef	35255	
