ReferenceID	Authors	Year	Title	Details	
1	Hayward, P.J.; Ryland, J.S. (Ed.)	1990	The marine fauna of the British Isles and North-West Europe: 1. Introduction and protozoans to arthropods. Clarendon Press: Oxford, UK. ISBN 0-19-857356-1. 627 pp.		
2	Backeljau, T.	1986	Lijst van de recente mariene mollusken van België [List of the recent marine molluscs of Belgium]. Koninklijk Belgisch Instituut voor Natuurwetenschappen: Brussels, Belgium. 106 pp.		
8	Linnaeus, C.	1758	Systema Naturae per regna tria naturae, secundum classes, ordines, genera, species, cum characteribus, differentiis, synonymis, locis. Editio decima, reformata. Laurentius Salvius: Holmiae. ii, 824 pp.		
42			ITIS database		
80	de Kluijver, M.J.; Ingalsuo, S.S.; de Bruyne, R.H.	2000	Macrobenthos of the North Sea [CD-ROM]: 1. Keys to Mollusca and Brachiopoda. <i>World Biodiversity Database CD-ROM Series</i>. Expert Center for Taxonomic Identification (ETI): Amsterdam, The Netherlands. ISBN 3-540-14706-3. 1 cd-rom pp.		
617			Check List of European Marine Mollusca (CLEMAM)		
623			NSBP/Akvaplan-NIVA		
671	Linnaeus, C.	1767	Systema naturae sive regna tria naturae, secundum classes, ordines, genera, species, cum characteribus, differentiis, synonymis, locis. Laurentii Salvii, Holmiae. 12th ed. v. 1 (pt 2): 533-1327		
685	Hayward, P.; Nelson-Smith, A.; Shields, C.	1999	Gids van kust en strand: flora en fauna [Coast and beach guide: flora and fauna]. Tirion: Baarn, Netherlands. ISBN 90-5210-327-5. 352, ill. pp.		
686	Lindner, G.	1999	Schelpengids: schelpen uit de wereldzeeën, vorm, voorkomen, systematiek [The shell guide: shells from the world oceans, shape, distribution and systematics]. Tirion: Baarn, The Netherlands. ISBN 90-5210-409-3. 320 pp.		
690	Turgeon, D.; Quinn, J.F.; Bogan, A.E.; Coan, E.V.; Hochberg, F.G.; Lyons, W.G.; Mikkelsen, P.M.; Neves, R.J.; Roper, C.F.E.; Rosenberg, G.; Roth, B.; Scheltema, A.; Thompson, F.G.; Vecchione, M.; Williams, J.D.	1998	Common and scientific names of aquatic invertebrates from the United States and Canada: mollusks. 2nd ed. <i>American Fisheries Society Special Publication</i>, 26. American Fisheries Society: Bethesda, MD (USA). ISBN 1-888569-01-8. IX, 526 + cd-rom pp.		
1318			UNESCO-IOC Register of Marine Organisms		
1364	Gofas, S.; Le Renard, J.; Bouchet, P.	2001	Mollusca, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50:		
2896			Gofas, Serge		
2901			North-West Atlantic Ocean species (NWARMS)		
2930	Brunel, P., Bosse, L. & Lamarche, G.	1998	Catalogue of the marine invertebrates of the estuary and Gulf of St. Lawrence. Canadian Special Publication of Fisheries and Aquatic Sciences, 126. 405 p.		
3016	Mayhew, R. and F. Cole.	1994	S. A taxonomic discussion and update of shell-bearing marine molluscs recorded from NW Atlantic North of Cape Cod (excluding Greenland), and Canadian Arctic Archipeligo.		
3042	Pollock, L.W.	1998	A practical guide to the marine animals of northeastern North America. Rutgers University Press. New Brunswick, New Jersey & London. 367 pp.		
3072	Trott, T.J.	2004	Cobscook Bay inventory: a historical checklist of marine invertebrates spanning 162 years. Northeastern Naturalist (Special Issue 2): 261 - 324.		
5978	Dautzenberg, Ph.	1923	Liste préliminaire des mollusques marins de Madagascar et description de deux espèces nouvelles. J. conchyliol. 68: 21-74		
6041	Schmidt, W. & O. Bellec	1994	Findings of some uncommon sea-shells off Madagascar.  African Journal of Tropical Hydrobiology and Fisheries 5(1): 63 - 66.		
6066	Richmond, M. (Ed.)	1997	A guide to the seashores of Eastern Africa and the Western Indian Ocean islands. Sida/Department for Research Cooperation, SAREC: Stockholm, Sweden. ISBN 91-630-4594-X. 448 pp.		
6506	Dautzenberg, Ph.	1929	Contribution à l'étude de la faune de Madagascar: Mollusca marina testacea. Faune des colonies françaises, III(fasc. 4). Société d'Editions géographiques, maritimes et coloniales: Paris. 321-636, plates IV-VII pp.		
6561	Branch, G.M. et al.	2002	Two Oceans. 5th impression. David Philip, Cate Town & Johannesburg.		
6581			OBIS Indo-Pacific Molluscan Database		
8649	Adams, A. and Reeve, L.	1850	Mollusca. In Zoology of the voyage of the Samarang. London.		
8744	Melvill, J.C.	1909	Report on the marine mollusca obtained by Mr. J. Stanley Gardiner F. R. S. among the islands of the Indian Ocean in 1905. Trans. Linn. Soc. Lond. (Zool.) 13: 65-138.		
8923	Bernard, P.A. (Ed.)	1984	Coquillages du Gabon [Shells of Gabon]. Pierre A. Bernard: Libreville, Gabon. 140, 75 plates pp.		
8929	Watson, R.B.	1879	Mollusca of H.M.S. 'Challenger' Expedition. Part IV. <i>Zool. J. Linn. Soc. 14</i>: 692-716		
9143			MedOBIS		
9160			Seasearch Marine Surveys		
9269	Muller, Y.	2004	Faune et flore du littoral du Nord, du Pas-de-Calais et de la Belgique: inventaire. [Coastal fauna and flora of the Nord, Pas-de-Calais and Belgium: inventory]. Commission Régionale de Biologie Région Nord Pas-de-Calais: France. 307 pp.		
9419	Müller, O.F.	1776	Zoologica Danicae Prodromus seu Animalium Daniae et Norvegiae indigenarum characters, nomine, et synonyma imprimis popularium. Havniae. XXXII, 274 pp.		
10025	Zavodnik, D; Kovacic, M.	2000	Index of marine Fauna in Rijeka Bay (Adriatic Sea, Croatia). Nat. Croat. 9 (4): 297-379.		
17785	Linse K.	1999	Mollusca of the Magellan region. A checklist of the species and their distribution. Scientia Marina, 63, Supl.1, 399-407.		
22989	Schiaparelli S, Lörz AN, Cattanea-Vietti R,	2006	Diversity and distribution of mollusc assemblages on the Victoria Land coast and the Balleny Islands, Ross Sea, Antarctica. Antarctic Science 18(4): 1-16		
