AcceptedTaxonID	DistributionElement	StandardInUse	DistributionStatus	
136535	Wales	Text		
136535	Wimereux	Text		
136457	Wimereux	Text		
136285	Wimereux	Text		
136458	Wimereux	Text		
136486	Wimereux	Text		
247191	Japan	Text		
211222	Mozambique	Text		
136475	Mozambique	Text		
136475	Gulf of Mexico	Text		
247576	Gulf of Mexico	Text		
247582	Gulf of Mexico	Text		
247454	Gulf of Mexico	Text		
247455	Gulf of Mexico	Text		
247136	Gulf of Mexico	Text		
247594	Gulf of Mexico	Text		
247535	Gulf of Mexico	Text		
247537	Gulf of Mexico	Text		
247177	Gulf of Mexico	Text		
247376	Gulf of Mexico	Text		
247380	Gulf of Mexico	Text		
247186	Gulf of Mexico	Text		
247506	Gulf of Mexico	Text		
247416	Gulf of Mexico	Text		
136377	Gulf of Mexico	Text		
247411	Gulf of Mexico	Text		
247414	Gulf of Mexico	Text		
247387	Gulf of Mexico	Text		
247486	Gulf of Mexico	Text		
247284	Gulf of Mexico	Text		
247410	Gulf of Mexico	Text		
247545	Gulf of Mexico	Text		
247353	Gulf of Mexico	Text		
247107	Gulf of Mexico	Text		
247481	Gulf of Mexico	Text		
247452	Gulf of Mexico	Text		
136527	Gulf of Mexico	Text		
247641	Gulf of Mexico	Text		
247350	Gulf of Mexico	Text		
247305	Gulf of Mexico	Text		
247306	Gulf of Mexico	Text		
247448	Gulf of Mexico	Text		
247096	Gulf of Mexico	Text		
247301	Gulf of Mexico	Text		
247439	Gulf of Mexico	Text		
247437	Gulf of Mexico	Text		
247438	Gulf of Mexico	Text		
247475	Gulf of Mexico	Text		
247479	Gulf of Mexico	Text		
247203	Gulf of Mexico	Text		
247204	Gulf of Mexico	Text		
247206	Gulf of Mexico	Text		
247080	Gulf of Mexico	Text		
247663	Gulf of Mexico	Text		
247660	Gulf of Mexico	Text		
247662	Gulf of Mexico	Text		
247667	Gulf of Mexico	Text		
247668	Gulf of Mexico	Text		
247468	Gulf of Mexico	Text		
247085	Gulf of Mexico	Text		
247528	Gulf of Mexico	Text		
247403	Gulf of Mexico	Text		
247423	Gulf of Mexico	Text		
247057	Gulf of Mexico	Text		
247606	Gulf of Mexico	Text		
247462	Gulf of Mexico	Text		
247676	Gulf of Mexico	Text		
247678	Gulf of Mexico	Text		
247737	Gulf of Mexico	Text		
247511	Gulf of Mexico	Text		
247518	Gulf of Mexico	Text		
247654	Gulf of Mexico	Text		
247648	Gulf of Mexico	Text		
136515	European waters (ERMS scope)	Text		
136319	European waters (ERMS scope)	Text		
136508	European waters (ERMS scope)	Text		
136506	European waters (ERMS scope)	Text		
136507	European waters (ERMS scope)	Text		
136500	European waters (ERMS scope)	Text		
136502	European waters (ERMS scope)	Text		
136503	European waters (ERMS scope)	Text		
136504	European waters (ERMS scope)	Text		
136505	European waters (ERMS scope)	Text		
136514	European waters (ERMS scope)	Text		
136516	European waters (ERMS scope)	Text		
136517	European waters (ERMS scope)	Text		
136518	European waters (ERMS scope)	Text		
136510	European waters (ERMS scope)	Text		
136511	European waters (ERMS scope)	Text		
136369	European waters (ERMS scope)	Text		
136364	European waters (ERMS scope)	Text		
136365	European waters (ERMS scope)	Text		
136501	European waters (ERMS scope)	Text		
136513	European waters (ERMS scope)	Text		
136363	European waters (ERMS scope)	Text		
136372	European waters (ERMS scope)	Text		
136371	European waters (ERMS scope)	Text		
136313	European waters (ERMS scope)	Text		
136370	European waters (ERMS scope)	Text		
136323	European waters (ERMS scope)	Text		
136546	European waters (ERMS scope)	Text		
136293	European waters (ERMS scope)	Text		
136458	European waters (ERMS scope)	Text		
136486	European waters (ERMS scope)	Text		
136547	European waters (ERMS scope)	Text		
136554	European waters (ERMS scope)	Text		
136280	European waters (ERMS scope)	Text		
136281	European waters (ERMS scope)	Text		
136284	European waters (ERMS scope)	Text		
136268	European waters (ERMS scope)	Text		
136258	European waters (ERMS scope)	Text		
136264	European waters (ERMS scope)	Text		
136265	European waters (ERMS scope)	Text		
136340	European waters (ERMS scope)	Text		
136387	European waters (ERMS scope)	Text		
136373	European waters (ERMS scope)	Text		
136484	European waters (ERMS scope)	Text		
136291	European waters (ERMS scope)	Text		
136347	European waters (ERMS scope)	Text		
136346	European waters (ERMS scope)	Text		
136344	European waters (ERMS scope)	Text		
136589	European waters (ERMS scope)	Text		
136285	European waters (ERMS scope)	Text		
136294	European waters (ERMS scope)	Text		
136295	European waters (ERMS scope)	Text		
136296	European waters (ERMS scope)	Text		
136297	European waters (ERMS scope)	Text		
136298	European waters (ERMS scope)	Text		
136348	European waters (ERMS scope)	Text		
136349	European waters (ERMS scope)	Text		
136350	European waters (ERMS scope)	Text		
136421	European waters (ERMS scope)	Text		
136351	European waters (ERMS scope)	Text		
136317	European waters (ERMS scope)	Text		
136318	European waters (ERMS scope)	Text		
136495	European waters (ERMS scope)	Text		
136310	European waters (ERMS scope)	Text		
136489	European waters (ERMS scope)	Text		
136352	European waters (ERMS scope)	Text		
136353	European waters (ERMS scope)	Text		
136527	European waters (ERMS scope)	Text		
136354	European waters (ERMS scope)	Text		
136292	European waters (ERMS scope)	Text		
136474	European waters (ERMS scope)	Text		
136376	European waters (ERMS scope)	Text		
136377	European waters (ERMS scope)	Text		
136336	European waters (ERMS scope)	Text		
136375	European waters (ERMS scope)	Text		
136337	European waters (ERMS scope)	Text		
136379	European waters (ERMS scope)	Text		
136380	European waters (ERMS scope)	Text		
136381	European waters (ERMS scope)	Text		
136382	European waters (ERMS scope)	Text		
136386	European waters (ERMS scope)	Text		
136316	European waters (ERMS scope)	Text		
136383	European waters (ERMS scope)	Text		
136385	European waters (ERMS scope)	Text		
136497	European waters (ERMS scope)	Text		
136535	European waters (ERMS scope)	Text		
136563	European waters (ERMS scope)	Text		
136480	European waters (ERMS scope)	Text		
136457	European waters (ERMS scope)	Text		
136478	European waters (ERMS scope)	Text		
136487	European waters (ERMS scope)	Text		
136320	European waters (ERMS scope)	Text		
136321	European waters (ERMS scope)	Text		
136333	European waters (ERMS scope)	Text		
136334	European waters (ERMS scope)	Text		
136335	European waters (ERMS scope)	Text		
136338	European waters (ERMS scope)	Text		
136496	European waters (ERMS scope)	Text		
136456	European waters (ERMS scope)	Text		
136329	European waters (ERMS scope)	Text		
136330	European waters (ERMS scope)	Text		
136476	European waters (ERMS scope)	Text		
136477	European waters (ERMS scope)	Text		
136455	European waters (ERMS scope)	Text		
136374	European waters (ERMS scope)	Text		
136550	European waters (ERMS scope)	Text		
136309	European waters (ERMS scope)	Text		
136362	European waters (ERMS scope)	Text		
136303	European waters (ERMS scope)	Text		
136304	European waters (ERMS scope)	Text		
136305	European waters (ERMS scope)	Text		
136306	European waters (ERMS scope)	Text		
136307	European waters (ERMS scope)	Text		
136308	European waters (ERMS scope)	Text		
136360	European waters (ERMS scope)	Text		
136359	European waters (ERMS scope)	Text		
136357	European waters (ERMS scope)	Text		
136358	European waters (ERMS scope)	Text		
136443	European waters (ERMS scope)	Text		
136448	European waters (ERMS scope)	Text		
136451	European waters (ERMS scope)	Text		
136454	European waters (ERMS scope)	Text		
136355	European waters (ERMS scope)	Text		
136356	European waters (ERMS scope)	Text		
136441	European waters (ERMS scope)	Text		
136475	European waters (ERMS scope)	Text		
136432	European waters (ERMS scope)	Text		
136423	European waters (ERMS scope)	Text		
136431	European waters (ERMS scope)	Text		
136319	Gulf of St. Lawrence	Text		
136340	Gulf of St. Lawrence	Text		
136258	Greek Exclusive Economic Zone	Text		
136268	Greek Exclusive Economic Zone	Text		
136285	Greek Exclusive Economic Zone	Text		
136527	Greek Exclusive Economic Zone	Text		
136457	Greek Exclusive Economic Zone	Text		
136478	Greek Exclusive Economic Zone	Text		
136316	Greek Exclusive Economic Zone	Text		
136431	Greek Exclusive Economic Zone	Text		
136475	Greek Exclusive Economic Zone	Text		
136547	Greek Exclusive Economic Zone	Text		
136546	Greek Exclusive Economic Zone	Text		
136546	Irish Exclusive economic Zone	Text		
136458	Irish Exclusive economic Zone	Text		
136475	Irish Exclusive economic Zone	Text		
136535	Irish Exclusive economic Zone	Text		
136457	Irish Exclusive economic Zone	Text		
136475	Irish Exclusive economic Zone	Text		
136285	Irish Exclusive economic Zone	Text		
136285	Irish Exclusive economic Zone	Text		
136340	Irish Exclusive economic Zone	Text		
136458	Italian Exclusive Economic Zone	Text		
136284	Swedish Exclusive Economic Zone	Text		
136344	Swedish Exclusive Economic Zone	Text		
136346	Swedish Exclusive Economic Zone	Text		
136431	Swedish Exclusive Economic Zone	Text		
136475	United Kingdom Exclusive Economic Zone	Text		
