ID	ReferenceType	ReferenceID	
247737	ComNameRef	132969	
136290	ComNameRef	147411	
136284	ComNameRef	147411	
136465	ComNameRef	147411	
136262	TaxAccRef	43055	
136274	TaxAccRef	193586	
136280	TaxAccRef	10392	
136280	TaxAccRef	43055	
136281	NomRef	163201	
136285	TaxAccRef	1325	
136285	TaxAccRef	163211	
136286	TaxAccRef	138950	
136287	TaxAccRef	43055	
136292	TaxAccRef	1325	
136292	TaxAccRef	193586	
136293	TaxAccRef	10391	
136305	TaxAccRef	18801	
136310	TaxAccRef	1325	
136316	TaxAccRef	193112	
136329	TaxAccRef	193622	
136330	TaxAccRef	138945	
136335	TaxAccRef	1325	
136353	TaxAccRef	1325	
136360	TaxAccRef	1325	
136364	TaxAccRef	11218	
136377	TaxAccRef	170093	
136378	TaxAccRef	1325	
136380	TaxAccRef	140208	
136384	TaxAccRef	132563	
136421	TaxAccRef	1325	
136424	TaxAccRef	138946	
136428	TaxAccRef	1325	
136431	TaxAccRef	6827	
136446	TaxAccRef	1325	
136454	TaxAccRef	163186	
136461	TaxAccRef	138950	
136464	TaxAccRef	193688	
136471	TaxAccRef	1325	
136485	TaxAccRef	1325	
136492	TaxAccRef	145041	
136496	TaxAccRef	1325	
136505	TaxAccRef	43055	
136510	TaxAccRef	1325	
136511	TaxAccRef	140210	
136535	TaxAccRef	1325	
136553	TaxAccRef	1325	
136554	TaxAccRef	138950	
136555	TaxAccRef	43055	
136555	TaxAccRef	132856	
136560	TaxAccRef	1325	
136573	TaxAccRef	43055	
136573	TaxAccRef	132856	
136578	TaxAccRef	1325	
136580	TaxAccRef	132856	
136589	TaxAccRef	141168	
237605	TaxAccRef	132858	
242572	TaxAccRef	43055	
242577	TaxAccRef	169966	
244592	TaxAccRef	11218	
244592	TaxAccRef	138958	
244605	TaxAccRef	132563	
244630	TaxAccRef	132563	
244630	TaxAccRef	132868	
244650	TaxAccRef	132855	
247048	TaxAccRef	43055	
247059	TaxAccRef	43055	
247073	TaxAccRef	43055	
247074	TaxAccRef	141167	
247080	TaxAccRef	141224	
247091	TaxAccRef	141149	
247098	TaxAccRef	43055	
247116	TaxAccRef	43055	
247117	TaxAccRef	141167	
247123	TaxAccRef	43055	
247127	TaxAccRef	18801	
247141	TaxAccRef	43055	
247155	TaxAccRef	193570	
247166	TaxAccRef	43055	
247177	TaxAccRef	167999	
247184	TaxAccRef	43055	
247191	TaxAccRef	18801	
247191	TaxAccRef	43055	
247199	TaxAccRef	21287	
247209	TaxAccRef	43055	
247230	TaxAccRef	194874	
247234	TaxAccRef	43055	
247247	TaxAccRef	46576	
247248	TaxAccRef	43055	
247252	TaxAccRef	43055	
247259	TaxAccRef	43055	
247265	TaxAccRef	10394	
247266	TaxAccRef	141149	
247277	TaxAccRef	43055	
247298	TaxAccRef	43055	
247302	TaxAccRef	43055	
247316	TaxAccRef	43055	
247317	TaxAccRef	151481	
247320	TaxAccRef	193376	
247327	TaxAccRef	43055	
247338	TaxAccRef	141161	
247339	TaxAccRef	168006	
247341	TaxAccRef	43055	
247366	TaxAccRef	43055	
247370	TaxAccRef	193620	
247381	TaxAccRef	140252	
247384	TaxAccRef	43055	
247387	TaxAccRef	141224	
247391	TaxAccRef	18801	
247394	TaxAccRef	140228	
247395	TaxAccRef	132563	
247409	TaxAccRef	43055	
247419	TaxAccRef	140228	
247428	TaxAccRef	168630	
247434	TaxAccRef	43055	
247440	TaxAccRef	138944	
247450	TaxAccRef	193656	
247452	TaxAccRef	43055	
247453	TaxAccRef	132860	
247455	TaxAccRef	141224	
247457	TaxAccRef	193624	
247459	TaxAccRef	43055	
247471	TaxAccRef	139283	
247477	TaxAccRef	43055	
247484	TaxAccRef	138942	
247502	TaxAccRef	43055	
247516	TaxAccRef	43055	
247537	TaxAccRef	141224	
247558	TaxAccRef	193102	
247566	TaxAccRef	43055	
247583	TaxAccRef	138799	
247584	TaxAccRef	43055	
247591	TaxAccRef	43055	
247596	TaxAccRef	132860	
247615	TaxAccRef	166395	
247615	TaxAccRef	166401	
247619	TaxAccRef	193808	
247634	TaxAccRef	43055	
247652	TaxAccRef	43055	
247653	TaxAccRef	140209	
247657	TaxAccRef	168633	
247659	TaxAccRef	43055	
247677	TaxAccRef	43055	
247702	TaxAccRef	43055	
247715	TaxAccRef	140242	
247716	TaxAccRef	43055	
247727	TaxAccRef	43055	
247737	TaxAccRef	141224	
247740	TaxAccRef	140242	
247741	TaxAccRef	43055	
247744	TaxAccRef	46687	
247745	TaxAccRef	43055	
247878	TaxAccRef	132854	
247892	NomRef	163201	
387628	TaxAccRef	127204	
387630	TaxAccRef	128556	
388228	TaxAccRef	127204	
389589	TaxAccRef	127204	
389693	TaxAccRef	129106	
