ID	ReferenceType	ReferenceID	
136465	ComNameRef	147411	
136284	ComNameRef	147411	
136290	ComNameRef	147411	
247737	ComNameRef	132969	
136262	TaxAccRef	43055	
136274	TaxAccRef	193586	
136280	TaxAccRef	10392	
136280	TaxAccRef	43055	
136281	NomRef	163201	
136285	TaxAccRef	1325	
136286	TaxAccRef	138950	
136287	TaxAccRef	43055	
136292	TaxAccRef	1325	
136292	TaxAccRef	193586	
136293	TaxAccRef	10391	
136305	TaxAccRef	18801	
136305	TaxAccRef	43055	
136310	TaxAccRef	1325	
136316	TaxAccRef	193112	
136329	TaxAccRef	193622	
136330	TaxAccRef	43055	
136335	TaxAccRef	1325	
136344	TaxAccRef	43055	
136348	TaxAccRef	43055	
136353	TaxAccRef	1325	
136355	TaxAccRef	43055	
136360	TaxAccRef	1325	
136364	TaxAccRef	11218	
136369	TaxAccRef	43055	
136373	TaxAccRef	43055	
136377	TaxAccRef	170093	
136378	TaxAccRef	1325	
136380	TaxAccRef	140208	
136384	TaxAccRef	132563	
136421	TaxAccRef	1325	
136423	TaxAccRef	43055	
136424	TaxAccRef	138946	
136428	TaxAccRef	1325	
136437	TaxAccRef	43055	
136443	TaxAccRef	141177	
136446	TaxAccRef	1325	
136454	TaxAccRef	163186	
136461	TaxAccRef	138950	
136462	TaxAccRef	43055	
136464	TaxAccRef	193688	
136471	TaxAccRef	1325	
136480	TaxAccRef	43055	
136485	TaxAccRef	1325	
136487	TaxAccRef	43055	
136492	TaxAccRef	145041	
136496	TaxAccRef	1325	
136505	TaxAccRef	43055	
136510	TaxAccRef	1325	
136511	TaxAccRef	140210	
136535	TaxAccRef	1325	
136548	TaxAccRef	43055	
136553	TaxAccRef	1325	
136554	TaxAccRef	138950	
136555	TaxAccRef	43055	
136555	TaxAccRef	132856	
136560	TaxAccRef	1325	
136573	TaxAccRef	43055	
136573	TaxAccRef	132856	
136578	TaxAccRef	1325	
136580	TaxAccRef	132856	
136589	TaxAccRef	141168	
237605	TaxAccRef	132858	
237606	TaxAccRef	43055	
242572	TaxAccRef	43055	
242577	TaxAccRef	169966	
244592	TaxAccRef	11218	
244592	TaxAccRef	138958	
