ReferenceID	Authors	Year	Title	Details	
663	Howson, C. M.; Picton, B. E.	1997	The species directory of the marine fauna and flora of the British Isles and surrounding seas	Ulster Museum Publication, 276. The Ulster Museum: Belfast, UK. ISBN 0-948150-06-8. vi, 508 (+ cd-rom) pp.	
742			NSBP/Rees		
1325	Bird, G.J.	2001	Tanaidacea. In: Costello, M.J., C.S. Emblow, & R. White (eds.), European Register of Marine Species. A Check-List of the Marine Species in Europe and a Bibliography of Guides to Their Identification	Patrimoines Naturels. 50: 310-315	
5280	Chilton, C.	1885	Notes on a few Australian Edriophthalmata	Proceedings of the Linnean Society of New South Wales. 9: 1035-1044	
5778	Thomson, G.M.	1880	New species of Crustacea from New Zealand	The Annals and Magazine of Natural History. Series 5, 6 (31): 1-6	
6637	Sars, G.O.	1869	Undersøgelser over Christiania-fjordens Dybvansfauna anstillede paa en i Sommeren 1868 foretagen Zoologisk Reise	Nyt Magazin for Naturvidenskaberne. 16: 305-362	
6831			BIOCEAN		
10205	Amar, R., & Cazaubon, A.	1978	Une nouvelle espece de Synapseudes Crustacea, Tanaidacea des cotes Mediterranneennes	Tethys. 8 (4): 327-333	
10376	Audouin, V.	1826	Explication sommaire des planches de crustaces de l'Egypte  et de la Syrie, publiées par Jules-Cesar Savigny, membre de l'Inst.; offrant un exposé  des caractères naturels des genres avec la disctinction des espèces. Description de l'Egypte	Histoire naturelle. 1(4): 77-98	
10384	Bacescu, M.	1975	Archaic species of Tanaidacea from the Tanzanian waters with the description of a new genus, Tanzanapseudes	Revue Roumaine de Biologie. 20 (2): 81-91	
10385	Bacescu, M.	1976	Contribution to the knowledge of the family Pagurapseudidae (Crustacea- Tanaidacea) occurring in the infralittoral area of the west India Ocean (Tanzanian waters)	Revue Roumaine de Biologie. Série de Biologie Animale. 21 (1): 3-11	
10386	Bacescu, M.	1976	Representatives of the family Synapseudidae (Crustacea,Tanaidacea) from the Tanzanian coral reefs: one new genus (Curtipleon) and three new species of Synapseudes	Travaux du Muséum National d'Histoire naturelle "Grigore Antipa". 17: 51-63	
10387	Bacescu, M.	1978	Atlantapseudes nigrichela n.g., n.sp.,Tanaïdacé nouveau capturé par le navire "Thalassa" dans les eaux portugaises	Cahiers de Biologie Marine. 19 (3): 317-322	
10388	Bacescu, M.	1980	Apseudes bermudeus n.sp. from Caves Around Bermude [sic] Islands [Apseudes bermudeus n.sp. iz pecina oko Bermudskih Otoka]	Acta Adriatica. 21 (2): 401-407	
10389	Bacescu, M.	1980	Anuropoda francispori, genre nouveau et espéce nouvelle de Monokonophora (Crustacea,Tanidacea) des eaux de la Méditerranée levantine	Travaux du Muséum d'Histoire naturelle "Grigore Antipa". 22 (1-2): 381-384	
10391	Bacescu, M.	1980	Contribution à la connaissance des Monokonophora (Crustacea, Tanaidacea) de la mer Méditerranée; description de deux espèces nouvelles, Apseudes sicilianus sp.n. et A. misarai sp.n.	Revue Roumaine de Biologie. Série de Biologie Animale. 25 (2): 83-91	
10392	Bacescu, M.	1981	Nouvelle contributions à la connaissance de la faune d ´Apseudoidea Leach, 1914 (Crustacea, Tanaidacea) des eaux profondes du nord-est de l ´Atlantique	Travaux du Muséum National d ´Histoire naturelle “Grigore Antipa”. 23: 33-71	
10393	Bacescu, M.	1981	Two new Apseudoidea Leach, 1914 (Crustacea, Tanaidacea) from the northern medio-littoral waters of Sri Lanka	Travaux du Muséum National d ́Histoire naturelle “Grigore Antipa”. 23: 73-80	
10394	Bacescu, M.	1981	Contribution to the knowledge of the Monokonophora (Crustacea, Tanaidacea) of the eastern Australia coral reefs	Revue Roumaine de Biologie. Série de Biologie Animale. 26: 111-120.	
10395	Bacescu, M.	1982	Carpoapseudes laubieri sp.n. et Carpoapseudes curticarpus sp.n. de l ´Atlantique de NE (Bassin ouest-européen) et quelques détails nouveaux sur la valabilité du genre	Travaux du Muséum National d´Histoire naturelle “Grigore Antipa”. 24: 55-68	
10398	Bacescu, M.	1984	Leviapseudes drachi sp.n., Leviapseudes segonzaci gasconicus ssp.n. et la clé des espèces connnues de Leviapseudes	Travaux du Muséum National d ´Histoire naturelle “Grigore Antipa”. 26: 25-34	
10401	Bacescu, M., & Gutu, M.	1974	Halmyrapseudes cubanensis n.g., n.sp. and Halmyrapseudes Bahamensis n.sp., brackish-water species of Tanaidacea (Crustacea)	Travaux du Muséum National d ́Histoire naturelle “Grigore Antipa”. 15: 91-101	
10410	Báez, R.P., & Magnere, O.B.	1980	Apseudes fagettii nov. sp. de las Islas Juan Fernandez (Crustacea, Tanaidacea, Apseudidae	Boletín del Museo Nacional de Historia Natural. 37: 295-302	
10581	Barnard, K.H.	1935	Report on some Amphipoda, Isopoda, and Tanaidacea in the collections of the Indian Museum	Records of the Indian Museum. 37: 279-319	
10585	Barnard, K.H.	1940	18. Contributions to the crustacean fauna of South Africa. XII. Further additions to the Tanaidacea, Isopoda, and Amphipoda, together with keys for the identification of the hitherto recorded marine and fresh-water species	Annals of the South African Museum. 32 (5): 381-543	
10675	Boesch, D.F.	1973	Three new tanaids (Crustacea, Tanaidacea) from southern Queensland	Pacific Science. 27 (2): 168-188	
11019	Brum, I.N. da Silva	1973	Conribução ao conhecimento da fauna do Arquipélago de Abrolhos, Bahia, Brasil, No. 4. Crustacea - Tanaidacea	Boletim do Museu de História Natural UFMG Zoologia. 18: 1-25	
11020	Brum, I.N. da Silva	1974	Contribução ao conhecimento da fauna do Arquipélago de Abrolhos, Bahia, Brasil, No. 5. Crustacea - Tanaidacea	Boletim do Museu de História Natural UFMG Zoologia. 20: 1-17	
11022	Brum, I.N. da Silva	1978	Paraleiopus macrochelis g.n., sp.n. do littoral sudeste do Brasil (Tanaidacea, Monokonophora)	Revista Brasileira de Biologia. 38 (3): 639-645	
11109	Beddard, F.E.	1886	Preliminary notice of the Isopoda collected during the voyage of H.M.S 'Challenger.'- Part III	Proceedings of the Zoological Society of London, 1886. 26: 97-122	
11218	Bird, G.J., & Holdich, D.M.	1984	New deep-sea leptognathiid tanaids (Crustacea, Tanaidacea) from the north-east Atlantic	Zoologica Scripta. 13 (4): 285-315	
11219	Bird, G.J., & Holdich, D.M.	1985	A remarkable tubicolous tanaid (Crustacea: Tanaidacea) from the Rockall Trough	Journal of the Marine Biological Association of the United Kingdom. 65 (3): 563-572	
11555	Chilton, C.	1884	Additions to the sessile-eyed Crustacea of New Zealand	Transactions and Proceedings of the New Zealand Institute. 16: 249-265	
11894	Dana, J. D.	1853	United States Exploring Expedition. During the years 1838, 1839, 1840, 1841, 1842. Under the command of Charles Wilkes	U. S. N. Crustacea Part II. C. Sherman. Philadelphia. 14: 689-1618	
11948	Day, J.H., Field, J.G., & Penrith, M.J.	1970	The benthic fauna and fishes of False Bay, South Africa	Transactions of the Royal Society of South Africa. 39 (1): 1-108	
12057	Desmarest, A.G.	1823	Malacostracés	In: Dictionnaire des sciences naturelles, dans lequel on traite méthodiquement des différens êtres de la nature, considérés soit en eux-mêmes, d´après l´état actuel de nos connoissances, soit relativement à l´utilité qu´en peuvent retirer la médecine, l´agriculture, le commerce et les artes. Suivi d´une biographie des plus célèbres naturalistes ... Strasbourg, Paris. Vol. 28, Pages 138-425	
13229	Ishimaru, S.I.	1985	A new species of Leptochelia (Crustacea: Tanaidacea) from Japan, with a redescription of L. savignyi (Kroyer, 1842)	Publications of the Seto Marine Biological Laboratory. 30: 4-6	
14273	Stephensen, K.	1915	Isopoda, Tanaidacea, Cumacea, Amphipoda (excl. Hyperiidea)	Report on the Danish Oceanographical Expeditions 1908-1910 to the Mediterranean and Adjacent Seas. Volume II. Biology. D1: 1-53	
14285	Stephensen, K.	1927	Papers from Dr. Th. Mortensen’s Pacific expedition 1914-16. XL. Crustacea from the Auckland and Campbell Islands	Videnskabelige Meddelelser fra Dansk naturhistorisk Forening i Kobenhaven. 83: 289-390	
14371	Stebbing, T.R.R.	1918	Some Crustacea of Natal	Annals of the Durban Museum. 2 (1): 47-75	
14483	Monod, T.	1926	Tanaidacés, Isopodes et Amphipodes	In: Commission de la “Belgica” (corp. auth.), Expédition Antarctique Belge: Résultats du Voyage de la Belgica en 1897-1899 Sous le Commandement de A. de Gerlache de Gomery (Zoology). J.-E. Buschmann, Anvers. Pages 1-67	
17056	Larsen, K., & Wilson, G.D.F.	1998	Tanaidomorphan systematics- is it obsolete?	Journal of Crustacean Biology. 18 (2): 346-362	
17165	McSweeny, E.S.	1982	A new Pagurapseudes (Crustacea: Tanaidacea) from southern Florida	Bulletin of Marine Science. 32(2): 455-466	
17171	Roman, M.-L.	1976	Une nouvelle espèces de Tanaidacea de Madagascar: Acanthapseudes elegans n.g., n.sp. (Crustacea, Tanaidacea)	Bulletin Zoologisch Museum, University of Amsterdam. 5 (19): 155-162	
17172	Lang, K.	1973	Taxonomische und phylogenetische Untersuchungen über die Tanaidaceen (Crustacea). 8. Die Gattungen Leptochelia Dana, Paratanais Dana, Heterotanais G.O. Sars und Nototanais Richardson. Dazu einige Bemerkungen über die Monokonophora und ein Nachtrag	Zoologica Scripta. 2: 197-229	
18494	Stebbing, T.R.R.	1904	Gregarious Crustacea from Ceylon	Spolia Zeylanica. 2 (5): 1-29	
18801	Lang, K.	1968	Deep-sea Tanaidacea	Galathea Report. 9: 23-210	
18868	Sieg, J.	1980	Revision der Gattung Nototanais Richardson, (Crustacea, Tanaidacea)	Mitteilungen aus dem Zoologischen Museum in Berlin. 56 (1): 45-71	
19012	Walker, A.O.	1898	On some new species of Edriophthalma from the Irish Seas	The Journal of the Linnean Society, Zoology. 26 (167): 226-232	
19066	Sieg, J.	1984	Neuere Erkenntnisse zum natürlichen System der Tanaidacea. Eine phylogenetische Studie	Zoologica (Stuttgart). 136: 1-132	
19343	Montagu, G.	1808	Description of several marine animals found on the south coast of Devonshire	Transactions of the Linnean Society of London. 9: 81-114	
19350	Vanhöffen, E.	1907	Crustaceen aus dem kleinen Karajakfjord in West-Grönland	Zoologische Jahrbücher. Abteilung für Systematik, Geographie und Biologie der Tiere. 25 (4): 507-524	
19467	Monod, T.	1935	Crustacés. Pages 449-466, In: Monod, T., F. Angel, L. Germain, & G. Petit, Contribution a l´Étude Faunistique de la Réserve Naturelle de Manampetsa (Madagascar)	Annales des Sciences Naturelles. Series 10, 18: 419-481	
19932	Sars, M.	1858	Oversigt over de i den norsk-arctiske Region forekommende Krebsdyr	Christiana Videnskabs-Selskabs Forhandlinger. 1858: 122-163.	
19934	Sars, G. O.	1879	Crustacea et Pycnogonida nova in itinere 2do et 3tio Expeditionis Norvegicæ anno 1877 & 78 collecta (Prodromus descriptionis)	Archiv for Mathematik og Naturvidenskab. 4: 427-476	
20163	Hansen, H.J.	1887	Oversigt over de paa Dijmphna-Togtet indsamlede Krebsdyr	Pages 183-286, In: Lütken, C.F., Dijmphna-Togtets Zoologisk-Botaniske Udbytte. I Kommission hos H. Hagerup, Kjøbenhavn	
20449	Blazewicz-Paszkowycz, M., & Sekulska-Nalewajko, J.	2004	Tanaidacea (Crustacea, Malacostraca) of two polar fjords: Kongsfjorden (Arctic) and Admiralty Bay (Antarctic)	Polar Biology. 27: 222-230	
20451	Guerrero-Kommritz, J., & Blazewicz-Paszkowycz, M.	2004	New species of Tanaella Norman and Stebbing,1886 (Crustacea: Tanaidacea: Tanaellidae) from the deep-sea  off the Antarctic and Angola Basin, with a key to the genus	Zootaxa. 459: 1-20	
20453	Larsen, K., & Blazewicz-Paszkowycz, M.	2003	A new species of Neotanais Beddard (Crustacea: Tanaidacea) from the Subantartctic [sic], off the Falkland Islands	Zootaxa. 339: 1-11	
