AcceptedTaxonID	Kingdom	Phylum	Class	Order	Superfamily	Family	Genus	SubGenusName	Species	AuthorString	GSDNameStatus	Sp2000NameStatus	IsFossil	LifeZone	AdditionalData	LTSSpecialist	LTSDate	SpeciesURL	GSDTaxonGUI	GSDNameGUI	
732638	Animalia	Arthropoda	Malacostraca	Tanaidacea	Paratanaoidea	Paratanaidae	Acallocheirus		echmanomus	Bird & Bamber, 2013	accepted	Accepted name	0	marine		Błażewicz-Paszkowycz, Magda	2013-06-21 17:11:42	http://www.marinespecies.org/aphia.php?p=taxdetails&id=732638		urn:lsid:marinespecies.org:taxname:732638	
739727	Animalia	Arthropoda	Malacostraca	Tanaidacea	Apseudoidea	Tanzanapseudidae	Acanthapseudes		elegans	Roman, 1976	accepted	Accepted name	0			Anderson, Gary	2013-09-07 15:08:11	http://www.marinespecies.org/aphia.php?p=taxdetails&id=739727		urn:lsid:marinespecies.org:taxname:739727	
571676	Animalia	Arthropoda	Malacostraca	Tanaidacea	Apseudoidea	Tanzanapseudidae	Acanthapseudes		hansgeorgmuelleri	Gutu, 2010	accepted	Accepted name	0	marine		Anderson, Gary	2011-05-11 16:45:11	http://www.marinespecies.org/aphia.php?p=taxdetails&id=571676		urn:lsid:marinespecies.org:taxname:571676	
739933	Animalia	Arthropoda	Malacostraca	Tanaidacea	Paratanaoidea	Anarthruridae	Acinoproscelos		vermes	Bamber & Blazewicz-Paszkowycz, 2013	accepted	Accepted name	0	marine		Anderson, Gary	2013-09-08 04:46:11	http://www.marinespecies.org/aphia.php?p=taxdetails&id=739933		urn:lsid:marinespecies.org:taxname:739933	
746214	Animalia	Arthropoda	Malacostraca	Tanaidacea	Apseudoidea	Parapseudidae	Actenos		kalimantus	Bamber, 2013	accepted	Accepted name	0	marine		Błażewicz-Paszkowycz, Magda	2014-01-03 15:05:10	http://www.marinespecies.org/aphia.php?p=taxdetails&id=746214		urn:lsid:marinespecies.org:taxname:746214	
746212	Animalia	Arthropoda	Malacostraca	Tanaidacea	Apseudoidea	Parapseudidae	Actenos		marshalli	Bamber, 2013	accepted	Accepted name	0	marine		Błażewicz-Paszkowycz, Magda	2014-01-03 15:05:10	http://www.marinespecies.org/aphia.php?p=taxdetails&id=746212		urn:lsid:marinespecies.org:taxname:746212	
746213	Animalia	Arthropoda	Malacostraca	Tanaidacea	Apseudoidea	Parapseudidae	Actenos		tenuicorporeus	(Shiino, 1963)	accepted	Accepted name	0	marine		Błażewicz-Paszkowycz, Magda	2014-01-03 15:05:10	http://www.marinespecies.org/aphia.php?p=taxdetails&id=746213		urn:lsid:marinespecies.org:taxname:746213	
247153	Animalia	Arthropoda	Malacostraca	Tanaidacea	Apseudoidea	Kalliapseudidae	Acutihumerus		cavooreni	(Bacescu & Absalão, 1985)	accepted	Accepted name	0	marine		Anderson, Gary	2010-01-26 11:02:49	http://www.marinespecies.org/aphia.php?p=taxdetails&id=247153		urn:lsid:marinespecies.org:taxname:247153	
571671	Animalia	Arthropoda	Malacostraca	Tanaidacea	Apseudoidea	Kalliapseudidae	Acutihumerus		petronius	Araújo-Silva & Larsen, 2010	accepted	Accepted name	0	marine		Anderson, Gary	2011-05-11 16:45:11	http://www.marinespecies.org/aphia.php?p=taxdetails&id=571671		urn:lsid:marinespecies.org:taxname:571671	
247400	Animalia	Arthropoda	Malacostraca	Tanaidacea	Paratanaoidea	Agathotanaidae	Agathotanais		ahyongi	Larsen, 1999	accepted	Accepted name	0	marine		Anderson, Gary	2010-01-26 11:02:49	http://www.marinespecies.org/aphia.php?p=taxdetails&id=247400		urn:lsid:marinespecies.org:taxname:247400	
247401	Animalia	Arthropoda	Malacostraca	Tanaidacea	Paratanaoidea	Agathotanaidae	Agathotanais		brevis	Kudinova-Pasternak, 1990	accepted	Accepted name	0	marine		Anderson, Gary	2010-01-26 11:02:49	http://www.marinespecies.org/aphia.php?p=taxdetails&id=247401		urn:lsid:marinespecies.org:taxname:247401	
247402	Animalia	Arthropoda	Malacostraca	Tanaidacea	Paratanaoidea	Agathotanaidae	Agathotanais		ghilarovi	Kudinova-Pasternak, 1989	accepted	Accepted name	0	marine		Anderson, Gary	2010-01-26 11:02:49	http://www.marinespecies.org/aphia.php?p=taxdetails&id=247402		urn:lsid:marinespecies.org:taxname:247402	
449014	Animalia	Arthropoda	Malacostraca	Tanaidacea	Paratanaoidea	Agathotanaidae	Agathotanais		hadalis	Larsen, 2007	accepted	Accepted name	0	marine		Anderson, Gary	2010-01-26 21:47:11	http://www.marinespecies.org/aphia.php?p=taxdetails&id=449014		urn:lsid:marinespecies.org:taxname:449014	
247403	Animalia	Arthropoda	Malacostraca	Tanaidacea	Paratanaoidea	Agathotanaidae	Agathotanais		hanseni	Lang, 1971	accepted	Accepted name	0	marine		Anderson, Gary	2010-01-26 11:02:49	http://www.marinespecies.org/aphia.php?p=taxdetails&id=247403		urn:lsid:marinespecies.org:taxname:247403	
136373	Animalia	Arthropoda	Malacostraca	Tanaidacea	Paratanaoidea	Agathotanaidae	Agathotanais		ingolfi	Hansen, 1913	accepted	Accepted name	0	marine		Bird, Graham	2004-12-21 16:54:05	http://www.marinespecies.org/aphia.php?p=taxdetails&id=136373		urn:lsid:marinespecies.org:taxname:136373	
247404	Animalia	Arthropoda	Malacostraca	Tanaidacea	Paratanaoidea	Agathotanaidae	Agathotanais		manganicus	Larsen, 1999	accepted	Accepted name	0	marine		Anderson, Gary	2010-01-26 11:02:49	http://www.marinespecies.org/aphia.php?p=taxdetails&id=247404		urn:lsid:marinespecies.org:taxname:247404	
247405	Animalia	Arthropoda	Malacostraca	Tanaidacea	Paratanaoidea	Agathotanaidae	Agathotanais		spinipoda	Larsen, 1999	accepted	Accepted name	0	marine		Anderson, Gary	2010-01-26 11:02:49	http://www.marinespecies.org/aphia.php?p=taxdetails&id=247405		urn:lsid:marinespecies.org:taxname:247405	
247406	Animalia	Arthropoda	Malacostraca	Tanaidacea	Paratanaoidea	Agathotanaidae	Agathotanais		splendidus	Kudinova-Pasternak, 1970	accepted	Accepted name	0	marine		Anderson, Gary	2010-01-26 11:02:49	http://www.marinespecies.org/aphia.php?p=taxdetails&id=247406		urn:lsid:marinespecies.org:taxname:247406	
731998	Animalia	Arthropoda	Malacostraca	Tanaidacea	Apseudoidea	Parapseudidae	Akanthoparapseudes		alfaroae	Heard & Morales-Núñez, 2011	accepted	Accepted name	0	marine		Błażewicz-Paszkowycz, Magda	2013-06-07 21:09:08	http://www.marinespecies.org/aphia.php?p=taxdetails&id=731998		urn:lsid:marinespecies.org:taxname:731998	
448316	Animalia	Arthropoda	Malacostraca	Tanaidacea	Paratanaoidea	Akanthophoreidae	Akanthophoreus		antarcticus	(Vanhöffen, 1914)	accepted	Accepted name	0	marine		Anderson, Gary	2013-09-08 04:46:11	http://www.marinespecies.org/aphia.php?p=taxdetails&id=448316		urn:lsid:marinespecies.org:taxname:448316	
448317	Animalia	Arthropoda	Malacostraca	Tanaidacea	Paratanaoidea	Akanthophoreidae	Akanthophoreus		australis	(Beddard, 1886)	accepted	Accepted name	0	marine		Błażewicz-Paszkowycz, Magda	2010-01-23 13:52:54	http://www.marinespecies.org/aphia.php?p=taxdetails&id=448317		urn:lsid:marinespecies.org:taxname:448317	
