ID	ReferenceType	ReferenceID	
136606	TaxAccRef	1333	
136606	TaxAccRef	10936	
136607	TaxAccRef	1333	
136607	TaxAccRef	78605	
136608	TaxAccRef	1333	
136608	TaxAccRef	15738	
136609	TaxAccRef	1333	
136609	TaxAccRef	88360	
136610	TaxAccRef	1333	
136610	TaxAccRef	123752	
136611	TaxAccRef	1333	
136611	TaxAccRef	88336	
136612	TaxAccRef	1333	
136612	TaxAccRef	93671	
136613	TaxAccRef	1333	
136613	TaxAccRef	78612	
136614	TaxAccRef	1333	
136614	TaxAccRef	78612	
136615	TaxAccRef	1333	
136615	TaxAccRef	123754	
136616	TaxAccRef	1333	
136616	TaxAccRef	123756	
136617	TaxAccRef	1333	
136617	TaxAccRef	78612	
136618	TaxAccRef	1333	
136618	TaxAccRef	78612	
349195	TaxAccRef	47852	
349195	TaxAccRef	76666	
366568	TaxAccRef	105844	
366570	TaxAccRef	93676	
366572	TaxAccRef	93670	
366576	TaxAccRef	88345	
366578	TaxAccRef	97626	
366580	TaxAccRef	88341	
366584	TaxAccRef	78694	
366584	TaxAccRef	132563	
366585	TaxAccRef	78556	
366587	TaxAccRef	93677	
366601	TaxAccRef	123755	
366603	TaxAccRef	88345	
366604	TaxAccRef	10936	
366604	TaxAccRef	132563	
366759	TaxAccRef	10936	
366760	TaxAccRef	78612	
366761	TaxAccRef	132563	
366762	TaxAccRef	123767	
366829	TaxAccRef	105844	
405323	TaxAccRef	172146	
473668	TaxAccRef	170735	
526311	TaxAccRef	170789	
526312	TaxAccRef	170789	
526313	TaxAccRef	170789	
738364	TaxAccRef	154936	
