ID	ReferenceType	ReferenceID	
136138	TaxAccRef	1407	
136138	TaxAccRef	15064	
136138	TaxAccRef	16035	
136139	TaxAccRef	1407	
136139	TaxAccRef	16035	
136139	TaxAccRef	132550	
412757	TaxAccRef	16035	
412757	TaxAccRef	132553	
412758	TaxAccRef	132551	
412759	TaxAccRef	16035	
412759	TaxAccRef	132545	
412760	TaxAccRef	16035	
412760	TaxAccRef	132540	
412761	TaxAccRef	16035	
412761	TaxAccRef	132548	
412762	TaxAccRef	16035	
412763	TaxAccRef	16035	
412763	TaxAccRef	132552	
412764	TaxAccRef	16035	
412764	TaxAccRef	132531	
412765	TaxAccRef	16035	
412766	TaxAccRef	16035	
412767	TaxAccRef	16035	
412768	TaxAccRef	16035	
412769	TaxAccRef	16035	
412770	TaxAccRef	16035	
412770	TaxAccRef	132538	
412771	TaxAccRef	16035	
412772	TaxAccRef	16035	
412773	TaxAccRef	16035	
412774	TaxAccRef	16035	
412774	TaxAccRef	132548	
412775	TaxAccRef	16035	
412775	TaxAccRef	132553	
412776	TaxAccRef	16035	
412776	TaxAccRef	132549	
412777	TaxAccRef	16035	
412778	TaxAccRef	16035	
412779	TaxAccRef	16035	
412779	TaxAccRef	132535	
412780	TaxAccRef	16035	
412781	TaxAccRef	16035	
412782	TaxAccRef	16035	
412782	TaxAccRef	132539	
412783	TaxAccRef	16035	
412784	TaxAccRef	16035	
412785	TaxAccRef	16035	
412785	TaxAccRef	132534	
412786	TaxAccRef	16035	
412786	TaxAccRef	132542	
412787	TaxAccRef	16035	
412787	TaxAccRef	132556	
412788	TaxAccRef	16035	
412788	TaxAccRef	132556	
412789	TaxAccRef	16035	
412789	TaxAccRef	132533	
412789	TaxAccRef	222949	
412793	NomRef	16035	
412793	NomRef	132552	
412794	NomRef	16035	
412794	NomRef	132531	
412795	NomRef	16035	
412795	NomRef	132540	
412796	NomRef	16035	
412796	NomRef	132538	
412797	NomRef	16035	
412797	NomRef	132553	
412798	NomRef	16035	
412798	NomRef	132549	
412799	NomRef	16035	
412799	NomRef	132535	
412800	NomRef	16035	
412800	NomRef	132539	
