ReferenceID	Authors	Year	Title	Details	
1407	van der Land, J.	2001	Thermosbaenacea, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50:		
15064	Bowman, T. E.; Iliffe, T. M.	1986	Halosbaena fortunata, a new Thermosbaenacean crustacean from the Jameos Del Agua Marine Lava Cave, Lanzarote, Canary Islands	Stygologia. 2, 1-2, 84-89	
16035	Wagner, H. P.	1994	A monographic review of the Thermosbaenacea (Crustacea: Peracarida). A study on their morphology, taxonomy, phylogeny and biogeography	Zoologische Verhandelingen. 291(3): 1-338	
132531	Boutin, C. & Cals, P.	1985	Importance en biogéographie évolutive de la découverte d'un Crustacé phréatobie, Monodella atIantomaroccana n. sp. (Thermosbaenacea) dans la plaine alluviale de Marrakech. Comptes Rendus de l'Académie des Sciences, Paris (sér. 3), 300, 267-270.		
132533	Bowman, T. E.; Iliffe, T. M.	1988	Tulumella unidens, a new genus and species of thermosbaenacean crustacean from the Yucatan Peninsula, Mexico	Proceedings of the Biological Society of Washington. 101: 221-226	
132534	Cals, P. & Boutin, C.	1985	Découverte au Cambodge, domaine ancien de la Tethys orientale, d'un nouveau `fossile vivant' Theosbaena cambodjiana n.g. n.sp. (Crustacea, Thermosbaenacea). Comptes Rendus Hebdomadaires de Séances de l'Académie des Sciences, Paris, 300, 337-340.		
132535	Chelazzi, L.; Messana, G.	1982	Monodella somala n. sp. (Crustacea Thermosbaenacea) from the Somali Democratic Republic	Monitore Zoologico Italiano (nuova seria) (Supplementa. 7: 161-172	
132538	Karaman, S. L.	1953	ber einen Vertreter der Ordnung Thermosbaenacea (Crustacea Peracarida) aus Jugoslavien, Monodella halophila n. sp	Acta Adriatica. 5: 1-22	
132539	Maguire, B.	1965	Monodella texana n. sp., an extension of the range of the crustacean order Thermosbaenacea to the Western Hemisphere	Crustaceana. 9: 149-154	
132540	Mestrov, M.; Lattinger-Penko, R.	1969	Sur la presence du Thermosbaenacés (Crustacea, Peracarida) dans les eaux interstitielles continentales de la Yugoslavie (Monodella finki n	sp.). Annales de Spéléologie. 24: 111-123	
132542	Monod, T.	1924	Sur un type nouveau de Malacostracé: Thermosbaena mirabilis nov. gen. nov. sp. Bulletin de la Sociét	Zoologique de France. 49: 58-68	
132545	Poore, G. C. B.; Humphreys, W. F.	1992	First record of Thermosbaenacea (Crustacea) from the Southern Hemisphere: a new species from a cave in tropical	Western Australia. Invertebrate Taxonomy. 6: 719-725	
132548	Pór, F. D.	1962	Un nouveau Thermosbaenacé, Monodella relicta n. sp. dans le depression de la Mer Morte	Crustaceana. 3: 304-310	
132549	Pretus, J.L.l.	1991	Estudio taxonomico, biogeografico y ecologico de los crustaceos epigeos e hipogeos de las Baleares (Branchiopoda, Copepoda, Mystacocarida y Malacostraca).  [thesis]. Universidad de Barcelona, Barcelona		
132550	Ruffo, S.	1949	Monodella stygicola n. g. n. sp. nuovo Crostaceo Termosbenaceo delle acque sotterranee della Penisola Salentina	Nota preliminare). Archivo Zoologico Italiano. 34: 31-48	
132551	Shimomura, M.; Fujita, Y.	2009	First record of the thermosbaenacean genus Halosbaena from Asia: H. daitoensis sp. nov. (Peracarida: Thermosbaenacea: Halosbaenidae) from an anchialine cave of Minamidaito-jima Is., in Okinawa, southern Japan	Zootaxa. 1990, 55-64	
132552	Stella, E.	1951	Monodella argentarii n. sp. di Thermosbaenacea (Crustacea Peracarida) limnotroglobio di Monte Argentario	Archivo Zoologico Italiano. 36: 1-15	
132553	Stock, J.H.	1976	A new genus and two new species of the crustacean order Thermosbaenacea from the West Indies. Bijdragen tot de Dierkunde, 46, 47-70.		
132556	Yager, J.	1988	Tulumella grandis and T. bahamensis, two new species of thermosbaenacean crustaceans (Monodellidae) from anchialine caves in the Bahamas	Stygologia. 3: 373-382	
222949	Olesen, J.; Boesgaard, T.; Iliffe, T. M.	2015	The Unique Dorsal Brood Pouch of Thermosbaenacea (Crustacea, Malacostraca) and Description of an Advanced Developmental Stage of Tulumella unidens from the Yucatan Peninsula (Mexico), with a Discussion of Mouth Part Homologies to Other Malacostraca	PLOS ONE. 10(4): e0122463	
