AcceptedTaxonID	DistributionElement	StandardInUse	DistributionStatus	
366394	Europe	Text		
366394	Africa	Text		
366382	Africa	Text		
366399	East Africa	Text		
366348	North Africa	Text		
103985	Cosmopolitan (World Oceans)	Text		
108838	Cosmopolitan (World Oceans)	Text		
109254	Cosmopolitan (World Oceans)	Text		
158687	Cosmopolitan (World Oceans)	Text		
109050	Cosmopolitan (World Oceans)	Text		
109264	Cosmopolitan (World Oceans)	Text		
109332	Cosmopolitan (World Oceans)	Text		
109267	Cosmopolitan (World Oceans)	Text		
109224	Cosmopolitan (World Oceans)	Text		
103984	Indian Ocean	Text		
103986	North Atlantic	Text		
109220	North West Atlantic	Text		
159456	North West Atlantic	Text		
109213	North West Atlantic	Text		
108921	North West Atlantic	Text		
108929	North West Atlantic	Text		
159455	North West Atlantic	Text		
109147	North West Atlantic	Text		
159460	North West Atlantic	Text		
109143	North West Atlantic	Text		
109163	North West Atlantic	Text		
109164	North West Atlantic	Text		
108908	North West Atlantic	Text		
108910	North West Atlantic	Text		
109275	North West Atlantic	Text		
158677	North West Atlantic	Text		
158678	North West Atlantic	Text		
108897	North West Atlantic	Text		
108907	North West Atlantic	Text		
158687	North West Atlantic	Text		
109253	North West Atlantic	Text		
109254	North West Atlantic	Text		
158683	North West Atlantic	Text		
109335	North West Atlantic	Text		
158658	North West Atlantic	Text		
109267	North West Atlantic	Text		
109331	North West Atlantic	Text		
109200	North West Atlantic	Text		
159468	North West Atlantic	Text		
109363	North West Atlantic	Text		
109364	North West Atlantic	Text		
109366	North West Atlantic	Text		
108977	North West Atlantic	Text		
108981	North West Atlantic	Text		
109137	North West Atlantic	Text		
109138	North West Atlantic	Text		
109264	North West Atlantic	Text		
109051	North West Atlantic	Text		
158638	North West Atlantic	Text		
158640	North West Atlantic	Text		
109184	North West Atlantic	Text		
109375	North West Atlantic	Text		
158635	North West Atlantic	Text		
108863	North West Atlantic	Text		
109317	North West Atlantic	Text		
160471	North West Atlantic	Text		
366400	Pacific Ocean	Text		
366340	Pacific Ocean	Text		
366365	North Pacific	Text		
344872	Antarctic Ocean	Text		
344875	Antarctic Ocean	Text		
344874	Antarctic Ocean	Text		
344873	Antarctic Ocean	Text		
344870	Antarctic Ocean	Text		
344876	Antarctic Ocean	Text		
344871	Antarctic Ocean	Text		
344877	Antarctic Ocean	Text		
344883	Antarctic Ocean	Text		
108838	Antarctic Ocean	Text		
344879	Antarctic Ocean	Text		
344878	Antarctic Ocean	Text		
344882	Antarctic Ocean	Text		
344880	Antarctic Ocean	Text		
344881	Antarctic Ocean	Text		
109254	Antarctic Ocean	Text		
158687	Antarctic Ocean	Text		
