ID	AcceptedTaxonID	Genus	SubGenusName	Species	AuthorString	InfraSpecies	InfraSpecificMarker	InfraSpecificAuthorString	GSDNameStatus	Sp2000NameStatus	GSDNameGUI	
767718	767625	Parantorchis		chaetodontis	Yamaguti, 1934				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:767718	
729649	728628	Parantorchis		intermedius	Madhavi, 1975				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:729649	
729650	728629	Parantorchis		pomacanthi	(Hafeezullah & Siddiqi, 1970) Madhavi, 1975				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:729650	
767626	419023	Antorchis		holacanthi	Siddiqi & Cable, 1960				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:767626	
827572	109190	Amphistoma		gracilis	Rudolphi, 1819				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:827572	
827570	109190	Strigea		gracilis	(Rudolphi, 1819)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:827570	
729426	727742	Santeria		rubalo	Bray, 1986				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:729426	
745882	109034	Acanthochasmus		inermis	Stossich, 1905				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:745882	
109027	109034	Acanthostomum		inerme	(Stossich, 1905) Yamaguti, 1958				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:109027	
727741	109034	Aphallus		fuscescens	(Rudolphi, 1819) Yamaguti, 1971				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:727741	
729223	109356	Botulus		alepidosauri	Guiart, 1938				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:729223	
726999	109356	Botulus		alepisauri	(Parukhin & Nikolaeva, 1967) Parukhin & Nikolaeva, 1974				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:726999	
727000	109356	Botulus		cablei	Stunkard, 1965				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:727000	
727001	109356	Botulus		skrjabini	(Skrjabin, 1958) Parukhin & Nikolaeva, 1974				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:727001	
742158	109356	Mediolecithus		pacificus	Oshmarin, 1968				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:742158	
729224	109356	Profundiella		alepisauri	Parukhin & Nikolaeva, 1967				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:729224	
729225	109356	Profundiella		skrjabini	Skrjabin, 1958				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:729225	
108959	753849	Zalophotrema		atlanticum	Abril, Balbuena & Raga, 1991				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:108959	
753918	753850	Zalophotrema		curilense	Gubanov in Delyamure, 1955				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:753918	
753857	753851	Campula		delphini	(Poirrier, 1886) Bittner & Sprehn, 1928				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:753857	
