name_code	common_name	database_id
wp-25	Watershield	140
wp-25	Mazamorra (Cuba)	140
wp-25	Batatillo (Dominican Republic)	140
wp-28	Carolina fanwort	140
wp-31	Helecho de agua	140
wp-31	Fanwort	140
wp-31	Fish-grass	140
wp-32	Fishgrass	140
wp-36	Yellow pond-lily	140
wp-36	Flor de agua	140
wp-36	Malangueta	140
wp-36	Ova criolla	140
wp-s.36	Yellow pond-lily	140
wp-s.36	Flor de agua	140
wp-s.36	Malangueta	140
wp-s.36	Ova criolla	140
wp-s.37	Yellow pond-lily	140
wp-42	Gelbe Teichrose	140
wp-42	Gro&szlig;e Teichrose	140
wp-43	Small-leaved pond-lily	140
wp-44	Rocky Mountain pond-lily	140
wp-45	Kleine Teichrose	140
wp-45	Zwerg-Teichrose	140
wp-s.45	Kleine Teichrose	140
wp-s.45	Zwerg-Teichrose	140
wp-48	Red-disk pond lily	140
wp-49	Arrow-leaved pond lily	140
wp-53	Varigated yellow pond-lily	140
wp-59	Gro&szlig;e Seerose	140
wp-59	Wei&szlig;e Seerose	140
wp-59	European white waterlily	140
wp-59	Nenufar blanco	140
wp-61	Ova (Cuba)	140
wp-61	Chapeau deau	140
wp-61	Follet	140
wp-61	Nenuphar (Lesser Antilles)	140
wp-61	Yerba de hicotea (Puerto Rico)	140
wp-s.61	Ova (Cuba)	140
wp-s.61	Chapeau deau	140
wp-s.61	Follet	140
wp-s.61	Nenuphar (Lesser Antilles)	140
wp-s.61	Yerba de hicotea (Puerto Rico)	140
wp-63	Calderon	140
wp-63	Flor de agua	140
wp-63	Dotleaf waterlily	140
wp-66	Gl&auml;nzende Seerose	140
wp-70	Tropical royalblue waterlily	140
wp-82	James' waterlily	140
wp-85	Leiberg's waterlily	140
wp-88	White Egyptian lotos	140
wp-94	Yellow waterlily	140
wp-98	Blue Lotos	140
wp-s.99	Cape blue waterlily	140
wp-107	Lirio de agua	140
wp-107	Ninfa	140
wp-107	American white waterlily	140
wp-s.107	Lirio de agua	140
wp-s.107	Ninfa	140
wp-s.107	American white waterlily	140
wp-114	Flor de agua (Cuba)	140
wp-114	Yerba de jicotea (Dominican Republic)	140
wp-120	Pygmy waterlily	140
wp-140	Abati-irupe	140
wp-187	Cigar bush	140
wp-187	Cold bush	140
wp-187	Headache bush (Jamaica)	140
wp-187	Bois de leau	140
wp-187	Bois fragile	140
wp-187	Bois molle	140
wp-187	Bois-senti (Lesser Antilles)	140
wp-199	Anis cimarron	140
wp-199	Anis de monte (Dominican Republic)	140
wp-213	Anis cimarron (Dominican Republic)	140
wp-385	Chupacallos	140
